id	x	y	type	ServiceLocation	pickupLocation	deliveryLocation
testCarrier1Shipment_i(2,0)_j(6,5)R	1500.0	0.0	Pickup		i(2,0)	j(6,5)R
testCarrier1Shipment_i(2,0)_j(6,5)R	6000.0	4500.0	Delivery		i(2,0)	j(6,5)R
testCarrier1Shipment_i(2,0)_i(2,4)	1500.0	0.0	Pickup		i(2,0)	i(2,4)
testCarrier1Shipment_i(2,0)_i(2,4)	1500.0	4000.0	Delivery		i(2,0)	i(2,4)
testCarrier1Shipment_i(2,0)_j(9,6)	1500.0	0.0	Pickup		i(2,0)	j(9,6)
testCarrier1Shipment_i(2,0)_j(9,6)	9000.0	5500.0	Delivery		i(2,0)	j(9,6)
testCarrier1Shipment_i(2,0)_j(1,7)	1500.0	0.0	Pickup		i(2,0)	j(1,7)
testCarrier1Shipment_i(2,0)_j(1,7)	1000.0	6500.0	Delivery		i(2,0)	j(1,7)
testCarrier1Shipment_i(2,0)_i(6,6)	1500.0	0.0	Pickup		i(2,0)	i(6,6)
testCarrier1Shipment_i(2,0)_i(6,6)	5500.0	6000.0	Delivery		i(2,0)	i(6,6)
testCarrier1Shipment_i(2,0)_i(5,4)	1500.0	0.0	Pickup		i(2,0)	i(5,4)
testCarrier1Shipment_i(2,0)_i(5,4)	4500.0	4000.0	Delivery		i(2,0)	i(5,4)
testCarrier1Shipment_i(2,0)_j(7,9)	1500.0	0.0	Pickup		i(2,0)	j(7,9)
testCarrier1Shipment_i(2,0)_j(7,9)	7000.0	8500.0	Delivery		i(2,0)	j(7,9)
testCarrier1Shipment_i(2,0)_i(6,8)	1500.0	0.0	Pickup		i(2,0)	i(6,8)
testCarrier1Shipment_i(2,0)_i(6,8)	5500.0	8000.0	Delivery		i(2,0)	i(6,8)
testCarrier1Shipment_i(2,0)_j(4,6)R	1500.0	0.0	Pickup		i(2,0)	j(4,6)R
testCarrier1Shipment_i(2,0)_j(4,6)R	4000.0	5500.0	Delivery		i(2,0)	j(4,6)R
testCarrier1Shipment_i(2,0)_i(8,9)R	1500.0	0.0	Pickup		i(2,0)	i(8,9)R
testCarrier1Shipment_i(2,0)_i(8,9)R	7500.0	9000.0	Delivery		i(2,0)	i(8,9)R
testCarrier1Shipment_i(2,0)_i(1,7)R	1500.0	0.0	Pickup		i(2,0)	i(1,7)R
testCarrier1Shipment_i(2,0)_i(1,7)R	500.0	7000.0	Delivery		i(2,0)	i(1,7)R
testCarrier1Shipment_i(2,0)_i(5,5)R	1500.0	0.0	Pickup		i(2,0)	i(5,5)R
testCarrier1Shipment_i(2,0)_i(5,5)R	4500.0	5000.0	Delivery		i(2,0)	i(5,5)R
testCarrier1Shipment_i(2,0)_i(6,5)R	1500.0	0.0	Pickup		i(2,0)	i(6,5)R
testCarrier1Shipment_i(2,0)_i(6,5)R	5500.0	5000.0	Delivery		i(2,0)	i(6,5)R
testCarrier1Shipment_i(2,0)_i(9,9)R	1500.0	0.0	Pickup		i(2,0)	i(9,9)R
testCarrier1Shipment_i(2,0)_i(9,9)R	8500.0	9000.0	Delivery		i(2,0)	i(9,9)R
testCarrier1Shipment_i(2,0)_j(5,5)	1500.0	0.0	Pickup		i(2,0)	j(5,5)
testCarrier1Shipment_i(2,0)_j(5,5)	5000.0	4500.0	Delivery		i(2,0)	j(5,5)
