id	x	y	type	ServiceLocation	pickupLocation	deliveryLocation
testCarrier1Shipment_i(2,0)_j(1,2)	1500.0	0.0	Pickup		i(2,0)	j(1,2)
testCarrier1Shipment_i(2,0)_j(1,2)	1000.0	1500.0	Delivery		i(2,0)	j(1,2)
testCarrier1Shipment_i(2,0)_j(6,4)R	1500.0	0.0	Pickup		i(2,0)	j(6,4)R
testCarrier1Shipment_i(2,0)_j(6,4)R	6000.0	3500.0	Delivery		i(2,0)	j(6,4)R
testCarrier1Shipment_i(2,0)_j(9,5)	1500.0	0.0	Pickup		i(2,0)	j(9,5)
testCarrier1Shipment_i(2,0)_j(9,5)	9000.0	4500.0	Delivery		i(2,0)	j(9,5)
testCarrier1Shipment_i(2,0)_i(6,7)R	1500.0	0.0	Pickup		i(2,0)	i(6,7)R
testCarrier1Shipment_i(2,0)_i(6,7)R	5500.0	7000.0	Delivery		i(2,0)	i(6,7)R
testCarrier1Shipment_i(2,0)_j(8,2)R	1500.0	0.0	Pickup		i(2,0)	j(8,2)R
testCarrier1Shipment_i(2,0)_j(8,2)R	8000.0	1500.0	Delivery		i(2,0)	j(8,2)R
testCarrier1Shipment_i(2,0)_j(7,5)	1500.0	0.0	Pickup		i(2,0)	j(7,5)
testCarrier1Shipment_i(2,0)_j(7,5)	7000.0	4500.0	Delivery		i(2,0)	j(7,5)
testCarrier1Shipment_i(2,0)_i(9,1)R	1500.0	0.0	Pickup		i(2,0)	i(9,1)R
testCarrier1Shipment_i(2,0)_i(9,1)R	8500.0	1000.0	Delivery		i(2,0)	i(9,1)R
testCarrier1Shipment_i(2,0)_i(9,2)	1500.0	0.0	Pickup		i(2,0)	i(9,2)
testCarrier1Shipment_i(2,0)_i(9,2)	8500.0	2000.0	Delivery		i(2,0)	i(9,2)
testCarrier1Shipment_i(2,0)_j(0,4)R	1500.0	0.0	Pickup		i(2,0)	j(0,4)R
testCarrier1Shipment_i(2,0)_j(0,4)R	0.0	3500.0	Delivery		i(2,0)	j(0,4)R
testCarrier1Shipment_i(2,0)_i(2,8)	1500.0	0.0	Pickup		i(2,0)	i(2,8)
testCarrier1Shipment_i(2,0)_i(2,8)	1500.0	8000.0	Delivery		i(2,0)	i(2,8)
testCarrier1Shipment_i(2,0)_j(1,9)	1500.0	0.0	Pickup		i(2,0)	j(1,9)
testCarrier1Shipment_i(2,0)_j(1,9)	1000.0	8500.0	Delivery		i(2,0)	j(1,9)
testCarrier1Shipment_i(2,0)_i(7,0)	1500.0	0.0	Pickup		i(2,0)	i(7,0)
testCarrier1Shipment_i(2,0)_i(7,0)	6500.0	0.0	Delivery		i(2,0)	i(7,0)
testCarrier1Shipment_i(2,0)_j(7,3)	1500.0	0.0	Pickup		i(2,0)	j(7,3)
testCarrier1Shipment_i(2,0)_j(7,3)	7000.0	2500.0	Delivery		i(2,0)	j(7,3)
testCarrier1Shipment_i(2,0)_i(4,9)R	1500.0	0.0	Pickup		i(2,0)	i(4,9)R
testCarrier1Shipment_i(2,0)_i(4,9)R	3500.0	9000.0	Delivery		i(2,0)	i(4,9)R
testCarrier1Shipment_i(2,0)_j(0,1)R	1500.0	0.0	Pickup		i(2,0)	j(0,1)R
testCarrier1Shipment_i(2,0)_j(0,1)R	0.0	500.0	Delivery		i(2,0)	j(0,1)R
testCarrier1Shipment_i(2,0)_j(6,5)R	1500.0	0.0	Pickup		i(2,0)	j(6,5)R
testCarrier1Shipment_i(2,0)_j(6,5)R	6000.0	4500.0	Delivery		i(2,0)	j(6,5)R
testCarrier1Shipment_i(2,0)_j(4,1)R	1500.0	0.0	Pickup		i(2,0)	j(4,1)R
testCarrier1Shipment_i(2,0)_j(4,1)R	4000.0	500.0	Delivery		i(2,0)	j(4,1)R
testCarrier1Shipment_i(2,0)_i(7,1)R	1500.0	0.0	Pickup		i(2,0)	i(7,1)R
testCarrier1Shipment_i(2,0)_i(7,1)R	6500.0	1000.0	Delivery		i(2,0)	i(7,1)R
testCarrier1Shipment_i(2,0)_j(9,2)	1500.0	0.0	Pickup		i(2,0)	j(9,2)
testCarrier1Shipment_i(2,0)_j(9,2)	9000.0	1500.0	Delivery		i(2,0)	j(9,2)
testCarrier1Shipment_i(2,0)_j(6,1)R	1500.0	0.0	Pickup		i(2,0)	j(6,1)R
testCarrier1Shipment_i(2,0)_j(6,1)R	6000.0	500.0	Delivery		i(2,0)	j(6,1)R
testCarrier1Shipment_i(2,0)_i(4,0)	1500.0	0.0	Pickup		i(2,0)	i(4,0)
testCarrier1Shipment_i(2,0)_i(4,0)	3500.0	0.0	Delivery		i(2,0)	i(4,0)
testCarrier1Shipment_i(2,0)_i(5,9)R	1500.0	0.0	Pickup		i(2,0)	i(5,9)R
testCarrier1Shipment_i(2,0)_i(5,9)R	4500.0	9000.0	Delivery		i(2,0)	i(5,9)R
testCarrier1Shipment_i(2,0)_j(1,4)	1500.0	0.0	Pickup		i(2,0)	j(1,4)
testCarrier1Shipment_i(2,0)_j(1,4)	1000.0	3500.0	Delivery		i(2,0)	j(1,4)
testCarrier1Shipment_i(2,0)_i(8,7)R	1500.0	0.0	Pickup		i(2,0)	i(8,7)R
testCarrier1Shipment_i(2,0)_i(8,7)R	7500.0	7000.0	Delivery		i(2,0)	i(8,7)R
testCarrier1Shipment_i(2,0)_i(4,1)R	1500.0	0.0	Pickup		i(2,0)	i(4,1)R
testCarrier1Shipment_i(2,0)_i(4,1)R	3500.0	1000.0	Delivery		i(2,0)	i(4,1)R
testCarrier1Shipment_i(2,0)_j(3,2)	1500.0	0.0	Pickup		i(2,0)	j(3,2)
testCarrier1Shipment_i(2,0)_j(3,2)	3000.0	1500.0	Delivery		i(2,0)	j(3,2)
testCarrier1Shipment_i(2,0)_i(9,8)	1500.0	0.0	Pickup		i(2,0)	i(9,8)
testCarrier1Shipment_i(2,0)_i(9,8)	8500.0	8000.0	Delivery		i(2,0)	i(9,8)
testCarrier1Shipment_i(2,0)_i(6,8)	1500.0	0.0	Pickup		i(2,0)	i(6,8)
testCarrier1Shipment_i(2,0)_i(6,8)	5500.0	8000.0	Delivery		i(2,0)	i(6,8)
testCarrier1Shipment_i(2,0)_i(9,5)R	1500.0	0.0	Pickup		i(2,0)	i(9,5)R
testCarrier1Shipment_i(2,0)_i(9,5)R	8500.0	5000.0	Delivery		i(2,0)	i(9,5)R
testCarrier1Shipment_i(2,0)_i(7,7)R	1500.0	0.0	Pickup		i(2,0)	i(7,7)R
testCarrier1Shipment_i(2,0)_i(7,7)R	6500.0	7000.0	Delivery		i(2,0)	i(7,7)R
