id,count,relative_density,density,area
263445,0.0,-100.0,0.0,1001387.8177642479
270305,10.0,-90.16138467721676,9.986459863548727E-6,1001355.8494838291
269777,60.0,-40.97705595987098,5.990987983037507E-5,1001504.2622332091
263446,0.0,-100.0,0.0,1001402.5232126457
263444,0.0,-100.0,0.0,1001373.1618157853
269778,30.0,-70.48897271302882,2.9954488499105013E-5,1001519.3549673314
277296,0.0,-100.0,0.0,1001441.4048602028
277297,0.0,-100.0,0.0,1001456.289264081
270833,20.0,-80.31995008147172,1.9975781365178998E-5,1001212.399874541
270831,60.0,-40.95819584980456,5.992902335067963E-5,1001184.3451695357
270834,20.0,-80.32022726035785,1.997550002113507E-5,1001226.501406173
270832,60.0,-40.95902160060193,5.9928185191352866E-5,1001198.34779608
277298,770.0,657.4861042209343,7.688688223718761E-4,1001471.2231725489
263447,20.0,-80.3239763899588,1.997169455349002E-5,1001417.2781600563
262915,0.0,-100.0,0.0,1001159.4574466847
270307,50.0,-50.8083599704676,4.9930841145854715E-5,1001385.0929116788
263443,20.0,-80.32282252637035,1.9972865756147732E-5,1001358.5553612363
277294,0.0,-100.0,0.0,1001411.7845605635
277295,0.0,-100.0,0.0,1001426.5699615509
270830,40.0,-60.63824866148808,3.995323904887004E-5,1001170.3919943201
270303,30.0,-70.48329786536812,2.9960248622510184E-5,1001326.8039925393
270302,1510.0,1385.6954451088345,0.0015080209404751224,1001312.3554665323
270308,1340.0,1218.316605671468,0.001338126904860386,1001399.7888636799
262916,0.0,-100.0,0.0,1001173.3720832396
270304,10.0,-90.16124174182073,9.986604946830135E-6,1001341.3019981447
270306,10.0,-90.16152809462065,9.986314291016346E-6,1001370.4464514967
278348,0.0,-100.0,0.0,1001500.8071143981
263977,10.0,-90.16452399356297,9.983273372801607E-6,1001675.4652080312
277820,0.0,-100.0,0.0,1001382.1519439251
277292,0.0,-100.0,0.0,1001382.3622369701
270829,60.0,-40.95655302804326,5.993069085906815E-5,1001156.4882690045
262914,10.0,-90.15931840427439,9.98855718630494E-6,1001145.5922493741
270300,480.0,372.2876086007069,4.7938465857288195E-4,1001283.6068407986
264495,0.0,-100.0,0.0,1001738.1192178411
269782,0.0,-100.0,0.0,1001580.2211322479
269244,10.0,-90.16344067544297,9.984372969906478E-6,1001565.1488722049
269780,0.0,-100.0,0.0,1001549.688992034
269246,10.0,-90.16374151546714,9.984067609169419E-6,1001595.781544583
270835,0.0,-100.0,0.0,1001240.6523931576
277300,0.0,-100.0,0.0,1001501.2395135922
270837,0.0,-100.0,0.0,1001269.1027406913
278346,0.0,-100.0,0.0,1001470.7937205594
263451,0.0,-100.0,0.0,1001476.7929731202
277818,10.0,-90.16135598294179,9.9864889890116E-6,1001352.9290427563
277822,0.0,-100.0,0.0,1001411.5727940117
263979,10.0,-90.16483172209576,9.982961020042527E-6,1001706.8062194438
269248,0.0,-100.0,0.0,1001626.6123795491
269772,40.0,-60.64843466896848,3.994289997659864E-5,1001429.5412560133
269776,70.0,-31.138864282145057,6.989590968276649E-5,1001489.2190073202
269774,10.0,-90.16240081846504,9.985428452780152E-6,1001459.2811203601
269770,10.0,-90.16181844404969,9.986019578516221E-6,1001399.9994065559
271367,10.0,-90.15915169590413,9.988726399796259E-6,1001128.6323954144
263967,20.0,-80.32602852310043,1.9969611583012855E-5,1001521.7330022079
263969,40.0,-60.653249411306454,3.9938012883289876E-5,1001552.0831467321
263971,20.0,-80.32722474371329,1.996839738683318E-5,1001582.631422773
277828,20.0,-80.32562169234554,1.9970024527199787E-5,1001501.023334217
263975,0.0,-100.0,0.0,1001644.322414017
277824,0.0,-100.0,0.0,1001441.1916274149
263973,10.0,-90.16391431824789,9.983892209687102E-6,1001613.3778264623
277826,20.0,-80.32503203577764,1.9970623044517054E-5,1001471.008461652
270313,20.0,-80.32509102577148,1.9970563168082562E-5,1001474.0111067316
264492,0.0,-100.0,0.0,1001690.8868737795
270297,10.0,-90.16025469212485,9.98760682888851E-6,1001240.8549238887
263965,0.0,-100.0,0.0,1001491.580951974
263436,0.0,-100.0,0.0,1001257.6956147967
264493,0.0,-100.0,0.0,1001706.5814249425
270840,40.0,-60.64382116476289,3.994758280777639E-5,1001312.1492851228
278345,0.0,-100.0,0.0,1001455.86128586
276762,20.0,-80.32504047142524,1.9970614482107254E-5,1001471.4378427903
263452,0.0,-100.0,0.0,1001491.7954543647
276759,0.0,-100.0,0.0,1001426.7824231826
269784,0.0,-100.0,0.0,1001610.9514157369
270839,1360.0,1238.1293219566007,0.0013582373461651879,1001297.7509709836
269240,20.0,-80.3256895558384,1.9969955643924503E-5,1001504.4778571974
269241,10.0,-90.16299302943274,9.984827342678224E-6,1001519.5713256777
262400,0.0,-100.0,0.0,1001131.9727526598
276763,0.0,-100.0,0.0,1001486.4219921443
268711,0.0,-100.0,0.0,1001626.8338469544
270298,680.0,569.0931908019181,6.791476316229092E-4,1001255.0560988543
270827,20.0,-80.31830725950466,1.997744887377637E-5,1001128.8291295909
270310,0.0,-100.0,0.0,1001429.3292529082
270314,60.0,-40.976156717226715,5.9910792585908235E-5,1001489.004071576
277285,0.0,-100.0,0.0,1001280.9428408532
268710,10.0,-90.16389482596816,9.983911994876663E-6,1001611.3929220925
268714,0.0,-100.0,0.0,1001673.4538849129
264488,0.0,-100.0,0.0,1001628.6042260367
269237,20.0,-80.32480583028617,1.997085264919083E-5,1001459.4945604564
270309,30.0,-70.48588371724125,2.9957623913128133E-5,1001414.5343100224
269245,0.0,-100.0,0.0,1001580.440442177
277293,0.0,-100.0,0.0,1001397.0486524196
262930,0.0,-100.0,0.0,1001373.3704463071
270828,30.0,-70.47786797835481,2.996576010425258E-5,1001142.6339805264
262913,10.0,-90.15918260153124,9.988695029751337E-6,1001131.7764948265
270301,1330.0,1208.611494881974,0.0013282759556982476,1001297.9564181346
270844,2640.0,2497.357125420423,0.002636387523379219,1001370.2373375485
263440,0.0,-100.0,0.0,1001315.0328857126
277811,0.0,-100.0,0.0,1001252.2074409416
276758,0.0,-100.0,0.0,1001411.9962860683
270293,80.0,-21.27761016301677,7.99053485350897E-5,1001184.5447976331
264496,10.0,-90.16529469975426,9.982491085234362E-6,1001753.9624745105
270836,0.0,-100.0,0.0,1001254.8528338319
263448,20.0,-80.32426726604295,1.997139930642076E-5,1001432.0826067529
269775,40.0,-60.650190467914946,3.994111779332061E-5,1001474.2253079666
269779,10.0,-90.16313963052876,9.984678538612465E-6,1001534.4972127329
263958,0.0,-100.0,0.0,1001387.6083734771
269783,10.0,-90.16373935462589,9.984069802481564E-6,1001595.5615128488
271366,10.0,-90.15901648884301,9.988863638609332E-6,1001114.8777071721
269771,20.0,-80.3239266293258,1.9971745061874365E-5,1001414.7455837284
271370,30.0,-70.47868063080712,2.9964935240099276E-5,1001170.1930813387
263966,10.0,-90.1628659388351,9.98495634306198E-6,1001506.6322196263
263460,20.0,-80.32783296466012,1.996778002617068E-5,1001613.5981960484
271374,40.0,-60.6404465860972,3.995100809612192E-5,1001226.2995657132
263456,20.0,-80.32662897681044,1.9969002106305183E-5,1001552.3005871701
268180,0.0,-100.0,0.0,1001720.7457600797
270848,30.0,-70.486313504388,2.9957187667584433E-5,1001429.117208552
277819,0.0,-100.0,0.0,1001367.5157470537
277823,0.0,-100.0,0.0,1001426.3574573316
263978,10.0,-90.16467761692304,9.98311744094849E-6,1001691.1109331702
263974,10.0,-90.16406601433252,9.983738234070516E-6,1001628.8253506076
269763,690.0,578.9035685883048,6.891054296255541E-4,1001298.1618428577
263970,20.0,-80.32692424271002,1.996870240345489E-5,1001567.3325142897
277827,10.0,-90.16266319107754,9.985162137503254E-6,1001485.9911428995
269767,650.0,539.5098629218809,6.491197560721636E-4,1001356.0578300108
264484,0.0,-100.0,0.0,1001567.114324614
269233,10.0,-90.16182051214905,9.9860174793396E-6,1001400.2099124431
269761,690.0,578.9229952832104,6.891251482447489E-4,1001269.5107085838
263956,40.0,-60.64563687996758,3.9945739807880536E-5,1001358.3474077694
263462,0.0,-100.0,0.0,1001644.544240346
270321,20.0,-80.32747438653503,1.996814399263716E-5,1001595.3414285567
263461,10.0,-90.16406818545471,9.983736030322955E-6,1001629.0464439011
262934,10.0,-90.16213571125078,9.985697543751576E-6,1001432.2941572943
269234,910.0,795.2611495203491,9.087142086321848E-4,1001414.9568209687
263955,10.0,-90.16126619923772,9.986580121892362E-6,1001343.7911621236
263957,0.0,-100.0,0.0,1001372.9531495029
270288,0.0,-100.0,0.0,1001115.2696968424
270289,30.0,-70.47746669004754,2.9966167422705732E-5,1001129.0258382736
269235,10.0,-90.16211074969385,9.985722880404997E-6,1001429.7532352936
277282,0.0,-100.0,0.0,1001238.2194558661
270319,0.0,-100.0,0.0,1001564.7116910514
265010,0.0,-100.0,0.0,1001722.099977484
268708,0.0,-100.0,0.0,1001580.6597118581
265009,0.0,-100.0,0.0,1001706.3565933821
270320,0.0,-100.0,0.0,1001580.0017992477
268707,0.0,-100.0,0.0,1001565.3674032113
277283,10.0,-90.16036825993247,9.987491554501278E-6,1001252.4111214976
270318,0.0,-100.0,0.0,1001549.4711140472
271908,30.0,-70.47785633159785,2.9965771926024978E-5,1001142.2390205571
263430,0.0,-100.0,0.0,1001173.1736282276
263428,0.0,-100.0,0.0,1001145.3952500104
263429,10.0,-90.15945274576336,9.988420826070946E-6,1001159.259719898
271906,0.0,-100.0,0.0,1001114.6816827597
271907,30.0,-70.4774492851781,2.9966185089117553E-5,1001128.4356277545
270853,20.0,-80.32567684534223,1.996996854542087E-5,1001503.8308403355
270845,10.0,-90.16166993240711,9.986170321838258E-6,1001384.883064882
268701,0.0,-100.0,0.0,1001474.6536125685
277284,0.0,-100.0,0.0,1001266.6522451445
265007,10.0,-90.16451960751967,9.983277824753851E-6,1001675.018519938
271373,40.0,-60.639892256851184,3.995157075525484E-5,1001212.1987653964
268709,20.0,-80.32748735204504,1.9968130832294874E-5,1001596.0015473047
276221,0.0,-100.0,0.0,1001426.9948562393
264489,0.0,-100.0,0.0,1001644.1005628724
276749,10.0,-90.16065065804153,9.987204912805346E-6,1001281.1479594505
276755,0.0,-100.0,0.0,1001367.9348259917
269236,20.0,-80.32451318290079,1.9971149694178595E-5,1001444.5991474299
270294,10.0,-90.15983890256398,9.988028866505094E-6,1001198.5481474779
276757,0.0,-100.0,0.0,1001397.2596428684
271381,10.0,-90.16109522182694,9.986753668574932E-6,1001326.3901228234
267647,40.0,-60.66050328040612,3.993065001054379E-5,1001736.7608450626
270855,10.0,-90.16313536478084,9.984682868461644E-6,1001534.0628981555
263455,30.0,-70.48949558398209,2.9953957770987546E-5,1001537.1000174491
271379,0.0,-100.0,0.0,1001297.5454672426
271371,70.0,-31.11788142264686,6.991720785098697E-5,1001184.1455280865
277810,0.0,-100.0,0.0,1001238.0165048034
263463,10.0,-90.16437303730056,9.983426597478687E-6,1001660.0915887435
269754,0.0,-100.0,0.0,1001170.7897481084
278342,0.0,-100.0,0.0,1001411.360992993
276223,10.0,-90.16237563134764,9.98545401838352E-6,1001456.7170996631
276747,0.0,-100.0,0.0,1001252.6147734309
270847,60.0,-40.97175497862962,5.991526046928283E-5,1001414.3229964027
269768,10.0,-90.1615301488729,9.986312205894923E-6,1001370.6555355837
269762,30.0,-70.48203049710979,2.9961535035468593E-5,1001283.8115432294
264481,10.0,-90.16301214001676,9.984807944920087E-6,1001521.5170050059
264483,60.0,-40.97986130258723,5.9907032331868405E-5,1001551.8656911025
269760,20.0,-80.32079250029976,1.9974926287351633E-5,1001255.2593330091
268175,0.0,-100.0,0.0,1001642.5464737692
268173,0.0,-100.0,0.0,1001611.6136312383
269769,10.0,-90.16167405543969,9.986166136848999E-6,1001385.3027239307
267114,30.0,-70.49538413113667,2.9947980736833392E-5,1001736.9873322587
263948,0.0,-100.0,0.0,1001243.282845113
263981,0.0,-100.0,0.0,1001738.3454811234
260386,20.0,-80.32877228215433,1.9966826593584156E-5,1001661.4260789194
278344,0.0,-100.0,0.0,1001440.9783510322
263964,0.0,-100.0,0.0,1001476.5792058829
269753,20.0,-80.31885879977281,1.997688904553121E-5,1001156.8845587577
269752,10.0,-90.15929320712284,9.988582762093237E-6,1001143.0288138664
278343,10.0,-90.16207530208906,9.98575886067975E-6,1001426.1449248816
263437,10.0,-90.16056032728444,9.987296600959672E-6,1001271.9557201402
264491,0.0,-100.0,0.0,1001675.2418784805
