Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
;;;;;;;;;;;;;;;;
1001000;Flensburg, Stadt;31,610;16,366;15,244;28,427;3,169;651;3,260;5,498;44,045;20,795;23,236;10,814;2,326;;
;;;;;;;;;;;;;;;;
1002000;Kiel, Landeshauptstadt;90,376;47,108;43,268;83,120;7,187;1,449;7,688;15,255;123,935;62,930;60,972;27,444;5,905;;
;;;;;;;;;;;;;;;;
1003000;Lübeck, Hansestadt;79,057;40,990;38,067;72,639;6,381;1,401;6,595;14,636;97,350;54,352;42,966;24,704;5,412;;
;;;;;;;;;;;;;;;;
1004000;Neumünster, Stadt;29,261;15,824;13,437;26,850;2,390;743;2,557;5,794;39,625;17,835;21,772;11,426;2,202;;
;;;;;;;;;;;;;;;;
1051001;Albersdorf;1,208;649;559;1,148;57;40;116;223;1,136;259;877;949;114;;
1051002;Arkebek;83;46;37;*;*;6;6;14;13;3;10;80;6;;
1051003;Averlak;228;155;73;225;3;10;24;51;93;15;78;213;16;;
1051004;Bargenstedt;324;171;153;317;7;8;27;63;151;27;124;297;23;;
1051005;Barkenholm;69;35;34;*;*;5;4;15;*;5;*;64;*;;
1051006;Barlt;295;170;125;287;8;9;26;70;76;25;51;270;20;;
1051008;Bergewöhrden;7;*;*;7;;*;;;*;;*;7;*;;
1051010;Brickeln;88;53;35;85;3;7;15;7;14;3;11;85;5;;
1051011;Brunsbüttel, Stadt;4,654;2,759;1,895;4,430;224;123;436;1,045;6,835;2,536;4,298;2,118;326;;
1051012;Buchholz;362;221;141;358;4;17;46;58;111;24;87;338;21;;
1051013;Büsum;1,362;685;677;1,240;121;43;113;324;2,145;768;1,376;594;294;;
1051014;Büsumer Deichhausen;104;45;59;100;4;4;5;22;55;11;44;93;11;;
1051015;Bunsoh;272;152;120;*;*;14;16;74;109;21;88;251;17;;
