Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
16051;Erfurt, Stadt;;;;;;;;;
;;01003;Lübeck, Hansestadt;11;6;5;6;5;-;
;;01054;Nordfriesland;11;11;-;11;-;-;
;;01060;Segeberg;10;*;*;10;-;-;
;;01062;Stormarn;18;11;7;*;*;-;
;;010;Übrige Kreise (Regierungsbezirk);35;21;14;29;6;*;
;;010;Schleswig-Holstein;85;58;27;73;12;*;
;;01;Schleswig-Holstein;85;58;27;73;12;*;
;;02000;Hamburg, Freie und Hansestadt;224;156;68;148;76;5;
;;020;Hamburg;224;156;68;148;76;5;
;;02;Hamburg;224;156;68;148;76;5;
;;03101;Braunschweig, Stadt;20;12;8;*;*;-;
;;03103;Wolfsburg, Stadt;16;12;4;16;-;-;
;;03155;Northeim;27;*;*;22;5;*;
;;03159;Göttingen;36;25;11;36;-;-;
;;031;Übrige Kreise (Regierungsbezirk);16;12;4;*;*;-;
;;031;Statistische Region Braunschweig;115;86;29;107;8;*;
;;03241;Region Hannover;116;73;43;67;49;4;
;;03254;Hildesheim;15;12;3;*;*;-;
;;032;Übrige Kreise (Regierungsbezirk);20;14;6;*;*;*;
;;032;Statistische Region Hannover;151;99;52;99;52;5;
;;03351;Celle;12;9;3;*;*;-;
;;033;Übrige Kreise (Regierungsbezirk);35;24;11;32;3;*;
;;033;Statistische Region Lüneburg;47;33;14;43;4;*;
;;03403;Oldenburg (Oldenburg), Stadt;14;*;*;14;-;-;
;;03404;Osnabrück, Stadt;11;8;3;*;*;-;
;;03454;Emsland;16;13;3;*;*;*;
;;034;Übrige Kreise (Regierungsbezirk);31;24;7;25;6;-;
;;034;Statistische Region Weser-Ems;72;58;14;63;9;*;
;;03;Niedersachsen;385;276;109;312;73;9;
;;04011;Bremen, Stadt;22;13;9;19;3;*;
;;040;Bremen;22;13;9;19;3;*;
;;04;Bremen;22;13;9;19;3;*;
;;05111;Düsseldorf, Stadt;73;47;26;62;11;*;
;;05112;Duisburg, Stadt;16;12;4;13;3;-;
;;05113;Essen, Stadt;50;28;22;42;8;*;
;;05116;Mönchengladbach, Stadt;14;14;-;14;-;-;
;;05117;Mülheim an der Ruhr, Stadt;12;12;-;12;-;-;
;;05119;Oberhausen, Stadt;13;*;*;*;*;-;
;;05124;Wuppertal, Stadt;11;6;5;11;-;-;
;;05158;Mettmann;18;*;*;18;-;-;
;;05166;Viersen;15;8;7;15;-;-;
;;05170;Wesel;25;5;20;18;7;*;
;;051;Übrige Kreise (Regierungsbezirk);26;23;3;*;*;-;
;;051;Reg.-Bez. Düsseldorf;273;182;91;242;31;4;
;;05314;Bonn, Stadt;38;22;16;34;4;3;
;;05315;Köln, Stadt;118;73;45;97;21;*;
;;05334;Städteregion Aachen;18;*;*;*;*;-;
;;05362;Rhein-Erft-Kreis;25;19;6;20;5;*;
;;05374;Oberbergischer Kreis;32;29;3;*;*;-;
;;05378;Rheinisch-Bergischer Kreis;96;16;80;91;5;-;
;;05382;Rhein-Sieg-Kreis;17;8;9;*;*;-;
;;053;Übrige Kreise (Regierungsbezirk);13;4;9;*;*;-;
;;053;Reg.-Bez. Köln;357;187;170;317;40;6;
