Id	xCoord	yCoord	Types
0	640379.2977084899	239119.4602330504	work
1	639933.1761034644	246900.5367185299	work
2	640928.9914287167	227931.74455403493	work
3	641372.3140660928	226891.2537650441	work
4	640909.4661389535	259237.59884203758	work
5	641137.0144449935	241615.25722288326	leisure,work
6	641738.8392751765	266696.98368835106	work
7	641772.6656367108	229578.65912585918	work
8	641829.9274970283	244324.5396606688	work
9	641849.9525804607	267223.65595607774	work
10	641913.4246780379	219339.25546540017	shop,work
11	641683.3129817231	219029.66911771748	shop,work
12	641815.1508586727	224411.10048890434	work
13	642009.9387795996	245235.7995666695	work
14	642143.5983656711	219179.20192573467	work
15	642497.7470903499	229569.06578325285	shop,work
16	641950.7971429207	219033.26969951618	work
17	642109.2462628143	219406.02872934256	work
18	643462.591880441	247535.8941844799	work
19	643273.4668510127	249698.14319831677	work
20	643113.9789950291	261798.7264498312	work
21	643394.5187150355	250108.89412393307	work
22	643692.80325719	241550.31968069935	work
23	643574.6678529913	261850.5630554028	work
24	643900.8375256696	263739.79215051886	work
25	643824.6617256739	262164.643193003	shop,work
26	644178.5898333946	242765.09625251748	work
27	644060.6018717358	261849.71875063132	work
28	644883.1640450452	221578.78256381166	work
29	644951.2644040151	221742.29985201784	work
30	644467.1792797182	225602.43888185138	leisure,work
31	645243.4543095338	221179.3584774026	work
32	645323.819374261	248937.85608476974	work
33	645587.2144729247	249809.15772064027	work
34	645444.3970814616	252392.56525940108	work
35	645411.7543201862	265651.63364715694	work
36	645733.7559114834	233083.4697326017	shop,work
37	644955.3952240074	249195.63336435152	shop,work
38	645555.2463256356	248712.32395679754	leisure,work
39	646508.3948737007	210141.31745166957	work
40	645626.0115166684	246834.9923231215	work
41	645771.8443863523	249147.69751950583	shop,work
42	646261.1255506602	248938.41858688658	work
43	646044.946888269	248994.33695211675	shop,work
44	646311.1382938769	258110.82547415426	work
45	645877.9764626425	247698.6478450353	work
46	646834.0526637253	247874.09797343804	work
47	646140.7316609119	239281.41258891945	shop,work
48	646557.4486541422	239969.54852826826	education,work
49	646068.4972743064	249464.53546350638	education,work
50	645958.9892749208	252977.94698114213	work
51	646628.4888626887	249442.1321386577	work
52	646486.4091099921	248775.74971241507	work
53	646812.5944333196	249344.40711792774	work
54	646419.9549878573	241223.37928365712	work
55	646594.6072852938	248968.1006324695	work
56	646130.7236713283	257931.57338203667	work
57	646696.532177033	213513.77543561824	work
58	646507.9510219774	245094.52182369644	work
59	646774.924670385	202616.07374011565	work
60	646884.0983056179	267854.02618473524	shop,work
61	646825.4279272868	267663.2911689841	work
62	646775.2811189935	267979.594873574	work
63	647121.6477367254	208130.3234946903	work
64	647180.5482647353	208202.56658135378	work
65	646951.800956516	215789.1184995791	work
66	647290.1716408388	267758.59267670714	work
67	647410.193296201	249938.2244110032	work
68	647128.4410867713	204104.62837227696	leisure,work
69	647528.7693120356	204468.0398180327	work
70	647789.094006899	230583.00632549188	education,work
71	647219.672029041	249811.8022557915	work
72	647829.9722304371	249215.7624182779	leisure,work
73	647390.6040113281	249408.36214259357	work
74	647195.818968024	251764.72751132253	work
75	647963.6129162757	249067.87810450536	work
76	648266.6258261356	212451.47343977998	work
77	648393.0226897283	212946.72731439132	work
78	647923.8126311679	212430.31114115677	shop,work
79	648474.831193065	250060.55897629124	work
80	648625.8518343794	248991.80577867242	work
81	648375.9206455082	250717.4848402193	work
82	648708.0402360966	247669.54702940286	work
83	648768.495253628	247275.5731771028	shop,work
84	648721.877950961	249584.81385293722	work
85	648983.029635126	260868.61436190907	work
86	648899.4490081687	229747.6439237736	work
87	649224.7935654992	211848.09094574404	work
88	649992.1694991277	245412.3184151912	shop,work
89	650305.8461931188	224284.82864044822	work
90	650503.7739258127	240187.49089356957	shop,work
91	650533.3359925847	245274.09722957085	work
92	650462.9604077125	244802.18483103046	work
93	650644.2795955727	225889.05360455252	work
94	651189.7922190477	224902.58828707956	work
95	651263.6412048403	214969.91631846465	work
96	651555.4690462758	215199.05357415968	education,work
97	651493.8761435616	224535.53765052027	work
98	651833.7563119137	258964.91655398908	work
99	651848.5933781884	248997.16339980866	work
100	651865.3782964648	249537.9656652964	work
101	652202.201855798	250703.5401920387	shop,work
102	652139.2941011925	258217.36736244062	education,work
103	652365.011264172	214754.6942008588	shop,work
104	652780.3265292677	221435.02772244264	work
105	652970.8287414482	230019.7339879162	leisure,work
106	652934.0498990603	251688.1075651462	work
107	652949.3686336664	236843.08124442105	work
108	653556.2749152464	270552.36856272497	work
109	653293.9540622606	248073.28778748133	work
110	652932.0111586896	254170.20870901772	work
111	653900.2333149682	238080.30870895737	work
112	653839.3813640603	237955.92567911334	work
113	653732.8879379515	258951.14519583475	work
114	654667.2505480162	230199.38014500964	work
115	655214.0065411049	240887.5051037266	work
116	655661.8147322087	251110.3631495808	work
117	654182.1275394125	248904.7475095687	work
118	655010.1432899529	254999.3223914447	work
119	655287.7081097019	248636.81885822155	work
120	654635.7311099947	249314.62832437028	work
121	655180.4519211577	250494.64636942922	work
122	655874.5907514183	222297.00705971342	work
123	655407.4612982932	250221.77068309725	work
124	655853.1298768317	242109.52792370052	work
125	655245.8494975844	242007.22990697497	work
126	656087.8202292429	248191.26441881747	leisure,work
127	655899.9598141605	235247.54646937907	work
128	656625.1243044466	232039.7341309206	work
129	655745.4043016357	233884.94957430148	work
130	656836.3925125721	233756.54492902494	shop,work
131	656378.7438395147	233273.1997493773	leisure,work
132	656504.8992004853	233905.94307422487	work
133	656723.9673693898	258162.05340267794	work
134	656238.3296597314	262638.9534981069	work
135	656598.6076362523	234551.48396655338	work
136	655762.9687935067	247621.8766522528	work
137	657135.9355744199	233487.93994034652	education,work
138	656506.2989492837	228697.52485816542	work
139	657856.0385378659	220947.82819555176	work
140	657350.4619444766	220845.19759161555	work
141	657214.7422164883	237726.9834126573	work
142	657007.9463003435	254038.86454344503	work
143	657638.727495259	258890.03912902295	work
144	657021.2467358868	211035.71072329106	work
145	657523.1598519209	259526.73363565974	work
146	658187.451876234	259131.1872803337	work
147	658301.1402141765	259553.48872611887	leisure,work
148	658088.1256419776	258985.02005201663	shop,work
149	657893.0436080483	259676.49518780617	shop,work
150	657937.2737477788	259344.88686459037	shop,work
151	657892.9032047646	241486.93080614074	work
152	657906.7978172075	250184.68420287524	work
153	658173.5907218829	254536.65516736635	work
154	658076.5563512908	255471.60378677747	work
155	657944.0153337424	258946.96109835146	work
156	658002.5296320551	259993.76257514913	work
157	657398.3475200152	263249.94140817143	leisure,work
158	657546.3077038449	246944.95148613452	work
159	658092.5775325145	254254.9869402596	work
160	658160.0548497854	252103.84501283927	work
161	658638.5625757608	270039.13770251366	work
162	658827.829124368	260526.46828367776	work
163	659515.9558963376	259078.21360662705	work
164	659041.583464672	261282.16443001083	work
165	659809.0042819123	238878.05773656582	work
166	660188.0248950107	269239.41568853677	work
167	660053.6755198996	247889.45880266663	work
168	660195.5974399595	269268.9345762407	work
169	660909.0070163668	210936.4506551748	work
170	660900.2968230015	244540.17901229046	leisure,work
171	661060.5843065309	263438.53460133943	work
172	660965.8250035589	238153.9897111516	work
173	661797.9929769458	259445.78411337812	work
174	661403.4918195035	238929.41070205753	work
175	661615.9323212365	209157.21094862494	work
176	661272.6627961715	267527.723699065	work
177	661286.2899369916	244432.6564373108	work
178	661151.2073253175	269531.5853591821	work
179	661427.9581174186	262673.234335355	work
180	662165.053645554	244321.34695209784	work
181	661655.074036542	249279.3563816991	work
182	662256.2064689363	230030.7210403532	work
183	661850.214129936	230591.73961175894	work
184	662159.4166941469	245295.6796366579	work
185	662040.4198644479	215970.7914801138	work
186	662263.3510922919	246030.75075827583	work
187	662191.7239119592	213689.05427699766	work
188	662967.8683274236	211205.35741059526	work
189	662711.1076847903	244306.8052510436	work
190	662982.9641330662	251233.55531835117	shop,work
191	662695.4975453645	244538.24891897006	work
192	662749.6432378361	252687.16818913352	shop,work
193	662786.6626967929	245147.70454403647	shop,work
194	662892.5252873622	244999.1364631815	work
195	662983.7599051375	251686.69557260515	work
196	663935.9606241751	245119.92395234294	work
197	663296.4861798701	214610.99737755329	leisure,work
198	663218.5999345315	214897.86119089427	shop,work
199	663328.7636661173	209285.5208828321	work
200	662780.115010791	256264.2055931913	work
201	662907.3000512331	257072.71722519977	work
202	663716.1193082229	212653.0136690867	work
203	663531.1970041629	216515.1147705842	work
204	662960.2908089957	214662.5529644086	leisure,work
205	663519.71311521	245380.36027786424	work
206	663442.4001607148	250845.1843918939	work
207	663509.0493046357	211458.72967310235	work
208	664390.3387021242	200630.00283127313	work
209	664309.522301997	215114.2535423436	work
210	663738.9276868162	213671.63239729594	work
211	664083.0889877215	213201.51751113133	work
212	664049.010168417	253503.69946732145	work
213	663902.6082036755	270489.1411495085	work
214	664189.6420895442	212938.99458445024	work
215	664161.7178516437	213125.61876458945	work
216	664645.8708494888	210406.41886265177	work
217	664107.7273930531	214989.90588522007	leisure,work
218	664359.0711283738	256559.45313986338	work
219	664343.7539581012	258553.4822938763	work
220	664291.9805752994	259953.90244958247	work
221	664299.233712885	270877.6238125075	leisure,work
222	664676.4196316036	270948.91531325266	work
223	664667.4015808393	270892.5609373871	work
224	664344.1075368609	214013.01647089157	work
225	664081.1586516865	214151.56776175092	shop,work
226	663580.0932979011	214007.83487227006	work
227	663918.1562627363	225478.06233697984	work
228	663992.8287531341	232344.90860873493	work
229	664371.5206605294	260318.53859008054	shop,work
230	664735.2572559845	260290.2388249493	shop,work
231	664522.0313811738	225027.30146295324	work
232	665026.8002117265	249163.35437961246	work
233	664763.4706768623	254862.30926407533	work
234	664575.7076805629	227038.95020229594	work
235	665227.449630726	208454.62838274287	education,work
236	664652.2928473126	210094.79103520067	work
237	664965.3538021953	223810.28106817196	work
238	664106.776185083	209194.1506262638	shop,work
239	664739.6919343265	209472.5294117498	work
240	665378.7877022017	258019.42102779538	shop,work
241	665575.3315907563	208780.53770046355	shop,work
242	665167.8186559583	253362.4081892532	work
243	664939.8515492838	253485.16180488328	work
244	664983.9185504101	257397.4780984187	education,work
245	665391.7801808353	210211.55488336884	work
246	665178.6371054546	211223.3846468308	work
247	665295.7052771309	242986.79944105152	work
248	664752.3029499344	253836.8188349082	work
249	665514.2853157655	257861.77616639028	shop,work
250	665421.0434242152	258332.53052085434	leisure,work
251	665534.3610302652	211007.0399657848	shop,work
252	665416.9499555182	214959.91443906812	shop,work
253	665230.7770380438	220157.18771006473	work
254	665466.4497819974	258717.40262624295	work
255	665427.6438627125	210846.26521664366	education,work
256	665684.5356376813	214405.67133954386	shop,work
257	665624.8354845428	253226.72823640236	work
258	665532.0776424533	258800.20441530197	shop,work
259	665574.6616588697	258216.27129773996	leisure,work
260	665141.9432724713	211054.67657697914	work
261	665461.1147733566	247128.23405559055	work
262	666158.0599845249	247241.00284092783	shop,work
