KANT	ZGDE	GEBAEUDE_ID	HHNR	PERSON_ID	GEMT	ALTJ	GORTAUS	AGDE	AWBUS	XH	YH
13	7	2352	7614491	0	726	59	167	1146	4656	640577.3428467353	225985.38934860702
13	1	5248	5704653	1	367	25	752	261	1388	666330.6841136675	259833.71374306417
9	8	5010	5578136	2	996	80	19	-1	6447	669925.924967073	214243.79392812162
23	9	1001	1614153	3	380	51	865	261	7987	681306.4158659963	247603.5709280767
0	7	7940	7574036	4	338	60	485	-1	1729	701305.560249077	233157.9975921182
3	9	5193	3243083	5	602	40	188	261	8998	670860.8255021495	269690.6305015028
9	3	6940	6522277	6	770	64	300	2939	257	695395.1922398262	289406.9838389277
13	8	3079	364409	7	740	33	751	-1	5267	655542.9792044383	252876.33523118304
11	9	1953	9874432	8	624	56	399	66	5949	677579.2008792509	254019.69025227462
12	6	874	4733461	9	876	38	713	1054	5925	665621.719769291	207209.62916139048
6	5	3850	3997560	10	965	49	236	191	6832	689056.3562130532	252959.85341078712
12	8	5655	4885766	11	621	80	569	1061	8857	666541.5344243547	208074.4051903177
14	1	3837	2644482	12	101	51	218	197	1800	686321.2884585423	241474.2633412287
18	6	2021	8451023	13	529	67	228	1617	3852	729958.6166872985	223205.38400028448
14	3	7921	7940659	14	49	10	910	1510	273	672473.3386566662	200153.15631023445
10	5	7483	8914454	15	948	57	330	1501	266	681017.0357835506	201075.95184799162
7	9	3115	9581376	16	372	95	185	1057	2616	675109.8692179519	221049.38925380606
1	7	4640	889246	17	726	12	681	4021	8591	652425.082962881	250365.85110035416
24	7	1667	4411388	18	601	67	600	-1	7480	663701.3341203575	210069.18379193838
11	3	9609	2122187	19	828	39	727	261	5113	694036.272858608	231490.2223357286
2	0	9919	986077	20	42	54	25	69	8574	660536.2999259979	238742.27268750136
6	2	3758	2488996	21	582	32	707	-1	5459	663646.5161253071	213216.60340410692
16	5	2614	7217398	22	633	9	380	-1	1432	660596.0644336748	248757.52931993618
0	3	7316	9426891	23	489	6	228	230	8875	693608.6884302121	272182.8527406848
22	3	2974	9641724	24	113	72	134	1505	2736	672906.0119921104	204627.55316929272
5	9	2803	8900870	25	430	88	535	1701	9084	710785.4812227078	226532.89506346793
12	3	4701	1252805	26	550	27	166	4946	7317	725721.8689491241	270304.9934887895
13	4	6912	125753	27	800	94	12	4831	3507	713418.9539793362	270367.39242953283
25	6	4410	4949827	28	512	51	859	67	6242	684294.5461258712	260552.5456568874
11	6	6019	6620648	29	633	54	105	3443	8653	720917.1921907025	259943.3509388106
0	8	5420	3547276	30	123	69	771	261	372	686640.6949051013	256940.0580718075
0	6	5649	5952184	31	308	76	964	29	1366	690034.1534297334	284515.25874902535
15	1	1097	9327701	32	905	41	965	2937	7079	686692.7121968417	283603.0427353364
17	6	9394	1706990	33	836	100	212	261	1371	678692.4934583043	248026.2832291929
2	5	4279	8283761	34	236	23	151	1058	8328	663513.9468861313	210082.58000889522
1	7	6347	1406062	35	34	59	783	69	5416	657982.2865472792	251187.95492116667
17	7	6445	7830998	36	0	49	480	1701	6948	661111.0223873553	208763.47822241363
2	2	7332	2741436	37	466	86	461	1061	9465	668218.4961199227	214979.57108765666
16	8	3218	4624791	38	110	94	502	-1	3686	670898.6333563863	228499.41562574462
18	2	3395	7844350	39	557	12	987	261	4844	683787.1314083943	247085.72053195446
23	4	2380	2553834	40	329	51	191	4651	60	721467.8908892516	280387.41226782143
23	4	5134	7001463	41	559	2	239	-1	4460	648378.298906604	232445.74656673623
1	1	242	6056482	42	292	57	251	245	6130	678994.4041044617	268497.5509239581
22	9	8987	2557580	43	266	13	26	4021	742	658746.3988423683	271162.18238476367
3	8	6249	7868469	44	377	12	7	1024	3556	670380.2643389447	201791.3583365687
10	4	7218	5843137	45	600	42	376	1060	5943	655689.7071791802	207725.8465595427
7	5	3241	7442998	46	131	28	770	1052	8415	663311.2892973038	216084.83011861343
23	4	6025	3992251	47	11	8	296	-1	1660	691378.972237039	275685.0661328993
17	0	5320	2828123	48	324	87	188	221	8911	686937.2179263633	269695.5392221884
4	3	5622	3231423	49	272	57	186	1054	4895	656392.7975499782	228537.30051072765
24	4	4205	8696823	50	606	56	353	-1	5922	707164.1861896176	232190.44576833383
14	8	1376	4410033	51	815	9	730	-1	975	737509.0188549682	247862.80000216642
9	7	3390	4409344	52	4	12	625	1058	9682	664020.7309681253	208922.67192800017
19	0	3421	5996438	53	339	47	665	4001	1512	647967.3071506909	248190.81697175943
7	8	9153	3577737	54	697	7	74	4021	7102	664541.6653688261	256360.24340867726
4	0	1204	8889105	55	919	46	108	261	4277	686187.6188080935	256310.72904518785
