PersonId	survey_day
0	29
1	77
16	30
40	148
55	181
68	270
83	298
92	203
106	213
107	209
111	175
124	328
136	143
166	108
171	94
173	230
188	46
210	364
213	89
217	309
247	302
282	360
296	173
310	40
326	174
352	181
365	200
371	302
374	173
383	123
386	295
404	267
409	280
410	178
411	300
418	219
430	322
434	185
449	125
487	206
540	352
546	293
550	75
558	77
569	102
573	23
576	354
582	69
611	329
617	227
628	66
642	193
653	163
668	290
673	259
696	364
728	170
732	291
734	265
753	364
754	61
759	352
782	89
788	312
801	352
816	304
823	132
826	13
836	110
841	292
846	67
849	64
852	214
858	336
863	114
881	152
896	128
899	231
902	150
908	25
914	94
926	360
954	87
958	189
967	31
998	314
1010	173
1017	98
1028	237
1051	127
1070	70
1075	349
1080	142
1082	18
1085	322
1105	93
1120	236
1123	250
1127	162
1132	29
1145	323
1150	261
1177	21
1185	223
1221	274
1227	117
1228	312
1234	181
1251	263
1258	316
1264	102
1265	105
1274	271
1298	237
1301	324
1325	309
1367	186
1394	301
1396	218
1435	132
1460	77
1462	224
1478	45
1494	237
1515	243
1517	291
1519	172
1521	306
1525	251
1529	257
1541	43
1546	352
1550	240
1551	341
1562	125
1563	165
1566	23
1568	339
1573	304
1581	176
1589	273
1600	73
1603	67
1607	362
1623	57
1643	307
1650	284
1663	59
1664	23
1677	23
1684	343
1698	273
1703	213
1715	309
1717	119
1721	197
1722	240
1730	228
1736	300
1738	123
1745	36
1749	248
1753	251
1755	347
1756	296
1757	278
1769	59
1771	329
1789	307
1792	110
1807	329
1808	142
1886	201
1888	243
1912	229
1924	258
1962	80
1988	10
1989	187
2004	342
2006	14
2012	99
2029	20
2048	153
2065	353
2087	161
2093	47
2096	200
2097	254
2117	214
2119	91
2137	116
2150	32
2171	289
2184	172
2204	266
2210	356
2211	94
2215	264
2246	299
2266	3
2271	47
2276	1
2280	323
2292	8
2301	62
2324	205
2332	202
2337	68
2342	177
2345	81
2350	19
2361	317
2366	154
2367	32
2380	363
2399	19
2400	336
2401	319
2402	10
2407	102
2408	342
2413	248
2421	311
2433	28
2434	245
2444	155
2452	102
2455	61
2493	130
2501	329
2509	264
2511	177
2515	96
2551	69
2563	343
2621	136
2629	283
2639	178
2644	2
2645	220
2677	61
2683	253
2687	212
2690	139
2706	3
2720	224
2724	31
2728	17
2735	234
2737	356
2752	227
2766	63
2787	59
2791	286
2800	258
2812	222
2852	223
2854	191
2870	217
2879	188
2888	223
2958	68
2968	87
2971	193
2973	3
2980	100
2984	250
2988	170
3030	13
3041	44
3044	7
3049	102
3053	220
3082	134
3105	19
3107	326
3113	304
3115	57
3127	240
3135	208
3140	287
3152	312
3161	226
3165	158
3173	269
3177	99
3187	80
3195	224
3197	191
3215	348
3218	130
3219	126
3222	77
3232	257
3233	59
3237	16
3242	250
3251	118
3274	5
3275	19
3278	231
3290	296
3304	19
3309	317
3314	122
3317	285
3320	219
3387	114
3388	261
3398	203
3402	105
3405	3
3415	72
3420	48
3422	91
3424	26
3427	234
3431	287
3434	216
3440	91
3443	127
3446	163
3454	40
3462	19
3473	296
3474	103
3477	88
3480	296
3481	333
3494	126
3502	276
3508	358
3510	297
3529	250
3562	308
3574	288
3588	29
3604	102
3613	134
3624	186
3634	0
3644	56
3645	142
3667	256
3669	333
3674	362
3687	255
3701	173
3702	141
3703	72
3716	274
3752	260
3755	235
3759	104
3767	42
3770	336
3779	120
3788	5
3795	217
3797	188
3801	339
3813	136
3823	216
3829	317
3832	358
3835	47
3838	160
3840	51
3846	306
3849	60
3851	83
3862	360
3863	133
3867	271
3868	254
3872	165
3884	225
3889	210
3897	249
3911	200
3921	354
3926	2
3930	280
3943	114
3946	334
3977	142
3995	172
3998	158
4001	167
4002	194
4028	136
4045	190
4049	273
4067	63
4070	45
4076	292
4083	256
4092	293
4094	313
4110	45
4111	332
4120	135
4125	203
4152	55
4174	292
4182	168
4192	4
4201	175
4205	189
4226	315
4230	261
4239	86
4242	209
4252	285
4255	138
4280	354
4293	187
4301	352
4303	259
4305	123
4325	57
4331	358
4335	331
4373	11
4374	258
4375	216
4393	327
4403	355
4404	77
4419	33
4423	285
4425	199
4427	311
4434	2
4458	212
4470	249
4472	166
4473	16
4477	345
4480	259
4489	166
4506	213
4513	127
4515	278
4530	41
4542	361
4547	185
4554	234
4568	202
4572	71
4577	186
4582	152
4602	110
4604	189
4611	113
4631	9
4633	25
4648	296
4654	162
4661	233
4664	110
4666	131
4713	93
4728	134
4736	5
4746	261
4752	244
4767	258
4780	273
4806	56
4808	72
4820	211
4822	0
4832	201
4833	89
4835	9
4837	154
4840	167
4844	252
4845	78
4850	30
4854	80
4857	74
4861	173
4864	28
4868	225
4874	330
4915	149
4925	21
4929	306
4938	211
4957	342
4960	96
4964	87
4979	235
5006	282
5010	232
5014	130
5028	33
5039	186
5041	360
5047	108
5069	86
5077	325
5107	203
5134	347
5146	332
5147	213
5153	225
5154	325
5164	355
5171	88
5174	35
5178	357
5179	230
5189	109
5201	317
5210	263
5220	116
5228	15
5229	334
5249	203
5250	241
5268	273
5270	283
5293	190
5308	129
5315	213
5323	77
5328	271
5341	225
5343	280
5345	83
5361	17
5367	142
5384	45
5386	9
5391	227
5393	207
5452	15
5453	59
5460	356
5473	345
5491	149
5493	159
5512	294
5533	139
5535	178
5551	83
5557	190
5567	92
5584	316
5596	49
5598	306
5600	286
5612	39
5624	263
5628	233
5644	201
5653	238
5656	299
5661	241
5680	364
5685	224
5688	144
5696	334
5697	183
5772	10
5782	257
5785	281
5791	239
5792	325
5807	232
5819	183
5822	25
5824	15
5830	357
5837	282
5838	320
5851	114
5875	129
5885	352
5886	345
5895	256
5914	223
5915	294
5945	40
5962	363
5965	231
5968	240
5977	20
5983	276
5984	163
5989	277
6008	196
6019	200
6025	117
6044	47
6048	195
6050	77
6051	133
6055	239
6077	293
6143	41
6159	114
6165	287
6187	88
6188	330
6198	185
6200	293
6201	91
6205	20
6211	46
6215	177
6221	161
6237	27
6238	269
6245	163
6267	18
6272	0
6293	143
6309	165
6310	116
6318	105
6325	224
6326	182
6327	160
6343	278
6345	158
6347	93
6362	40
6363	176
6372	363
6373	299
6385	303
6393	343
6396	353
6398	304
6404	162
6412	357
6416	141
6417	59
6430	212
6443	56
6446	263
6449	297
6456	329
6461	150
6462	248
6463	237
6470	116
6476	205
6492	74
6520	264
6530	209
6542	206
6546	66
6556	112
6558	68
6568	135
6582	283
6594	127
6601	252
6610	199
6616	2
6650	267
6656	286
6669	18
6677	189
6691	357
6706	234
6711	109
6724	164
6732	294
6778	363
6783	15
6804	146
6807	339
6812	212
6832	96
6835	311
6838	38
6839	328
6847	24
6854	55
6859	74
6862	339
6865	81
6872	360
6873	166
6893	62
6895	201
6905	16
6909	151
6942	290
6959	336
6962	54
6963	86
7017	144
7029	307
7036	309
7043	355
7048	298
7062	159
7075	30
7093	314
7095	145
7118	233
7131	214
7143	88
7144	252
7146	338
7149	265
7150	321
7152	250
7153	165
7187	60
7191	9
7208	331
7212	21
7215	28
7225	94
7239	101
7240	3
7243	64
7259	364
7267	34
7269	90
7281	263
7286	256
7294	241
7298	42
7323	254
7331	56
7339	168
7348	336
7350	227
7353	339
7355	140
7357	216
7364	172
7371	62
7374	132
7379	141
7388	218
7394	106
7401	9
7403	138
7408	213
7416	352
7461	345
7464	71
7466	93
7473	231
7494	93
7496	274
7500	298
7503	86
7508	305
7513	254
7518	186
7525	61
7526	344
7530	223
7534	356
7545	99
7554	96
7562	123
7599	131
7600	309
7605	186
7608	287
7621	293
7629	200
7632	197
7646	73
7653	285
7670	301
7680	163
7703	352
7704	57
7737	215
7738	26
7742	291
7746	194
7756	234
7758	294
7775	243
7792	263
7801	344
7807	143
7830	335
7850	246
7857	305
7858	68
7879	125
7882	272
7889	100
7897	0
7900	200
7901	238
7907	194
7909	269
7929	184
7935	281
7984	71
7994	156
8006	21
8014	216
8021	0
