PersonId	TripId	xCoordOrigin	yCoordOrigin	xCoordDestination	yCoordDestination	activityDuration	mode	activityType
0	0	640577.3428467353	225985.38934860702	644797.8873380353	226324.0595908135	7200.0	car	work
0	1	644797.8873380353	226324.0595908135	644979.5906399773	225997.06465962145	14400.0	car	leisure
0	2	644979.5906399773	225997.06465962145	640577.3428467353	225985.38934860702	49313.0	car	home
1	0	666330.6841136675	259833.71374306417	683299.5192516168	246737.2775932441	18000.0	car	work
1	1	683299.5192516168	246737.2775932441	665843.5234231768	258597.40338317113	3600.0	car	leisure
1	2	665843.5234231768	258597.40338317113	683149.912393272	247538.42341341512	14400.0	car	work
1	3	683149.912393272	247538.42341341512	666330.6841136675	259833.71374306417	30299.0	car	home
16	0	675109.8692179519	221049.38925380606	674512.8653588335	221859.8331758306	43200.0	car	work
16	1	674512.8653588335	221859.8331758306	680513.6781855312	217854.5704818921	3600.0	car	leisure
16	2	680513.6781855312	217854.5704818921	675109.8692179519	221049.38925380606	13652.0	car	home
40	0	721467.8908892516	280387.41226782143	727951.3024976813	280150.1789225948	14400.0	car	work
40	1	727951.3024976813	280150.1789225948	723630.9751334839	281486.39089393115	3600.0	car	leisure
40	2	723630.9751334839	281486.39089393115	726709.8060633475	280237.03807656775	14400.0	car	work
40	3	726709.8060633475	280237.03807656775	721467.8908892516	280387.41226782143	28564.0	car	home
55	0	686187.6188080935	256310.72904518785	684083.146701985	247719.00925963832	14400.0	car	work
55	1	684083.146701985	247719.00925963832	683539.119956786	247584.21875817186	3600.0	car	leisure
55	2	683539.119956786	247584.21875817186	683900.2654562014	248287.7667072858	18000.0	car	work
55	3	683900.2654562014	248287.7667072858	688164.9795083768	244363.8233605403	7200.0	car	leisure
55	4	688164.9795083768	244363.8233605403	686187.6188080935	256310.72904518785	19196.0	car	home
68	0	644105.7139533779	241875.48114073047	647543.2442691162	249542.11682046816	10800.0	car	work
68	1	647543.2442691162	249542.11682046816	644105.7139533779	241875.48114073047	3600.0	car	home
68	2	644105.7139533779	241875.48114073047	648214.9783671766	249839.93491313583	18000.0	car	work
68	3	648214.9783671766	249839.93491313583	645662.9473589308	248553.54404167723	14400.0	car	leisure
68	4	645662.9473589308	248553.54404167723	644105.7139533779	241875.48114073047	15535.0	car	home
83	0	707790.1886806156	267132.40489014157	705012.11257797	266967.7755645978	25200.0	car	education
83	1	705012.11257797	266967.7755645978	710218.9571712393	268589.95521380164	7200.0	car	leisure
83	2	710218.9571712393	268589.95521380164	707790.1886806156	267132.40489014157	25109.0	car	home
92	0	707033.8643780354	269158.08506921784	711131.3441177423	268766.706965911	32400.0	car	work
92	1	711131.3441177423	268766.706965911	709560.7390701988	268495.55648307287	1800.0	car	shop
92	2	709560.7390701988	268495.55648307287	707033.8643780354	269158.08506921784	27509.0	car	home
106	0	643207.7030659561	248441.99845008523	645183.4016655061	249763.28025908858	3600.0	car	shop
106	1	645183.4016655061	249763.28025908858	642537.4113682266	246473.19108440765	21600.0	car	work
106	2	642537.4113682266	246473.19108440765	643207.7030659561	248441.99845008523	36604.0	car	home
107	0	696691.0357651318	262292.96484699554	699888.1475671218	261755.32420259577	10800.0	car	leisure
107	1	699888.1475671218	261755.32420259577	696691.0357651318	262292.96484699554	35986.0	car	home
111	0	689413.8575134986	249410.5093441756	676895.0135878414	255253.27655964284	14400.0	car	work
111	1	676895.0135878414	255253.27655964284	684635.0760162979	251855.12277089155	1800.0	car	leisure
111	2	684635.0760162979	251855.12277089155	676409.6194219118	255635.49986414055	39600.0	car	work
111	3	676409.6194219118	255635.49986414055	689413.8575134986	249410.5093441756	5670.0	car	home
124	0	690416.946583756	233698.33879564068	688109.4223738471	234774.89896911872	39600.0	car	work
124	1	688109.4223738471	234774.89896911872	690416.946583756	233698.33879564068	20312.0	car	home
136	0	673247.6623286682	235850.85446415292	679760.2617556271	247751.664967359	32400.0	car	work
136	1	679760.2617556271	247751.664967359	673247.6623286682	235850.85446415292	6519.0	car	home
166	0	658462.5973735817	241610.16843602207	656211.0239921779	241508.82634238718	10800.0	car	work
166	1	656211.0239921779	241508.82634238718	663318.606915471	244247.2564015365	3600.0	car	shop
166	2	663318.606915471	244247.2564015365	655788.975093077	242277.16451217775	14400.0	car	work
166	3	655788.975093077	242277.16451217775	658462.5973735817	241610.16843602207	30785.0	car	home
171	0	666777.5880638579	210051.64118742038	665557.8956967524	211866.31205906614	1800.0	car	leisure
171	1	665557.8956967524	211866.31205906614	666777.5880638579	210051.64118742038	1800.0	car	home
171	2	666777.5880638579	210051.64118742038	666406.4314177384	211979.14319360832	1800.0	car	shop
171	3	666406.4314177384	211979.14319360832	666777.5880638579	210051.64118742038	14400.0	car	home
171	4	666777.5880638579	210051.64118742038	662604.5693236962	215878.23980756177	21600.0	car	work
171	5	662604.5693236962	215878.23980756177	666777.5880638579	210051.64118742038	16929.0	car	home
173	0	658214.2139326897	235449.42740425112	656363.0564412234	233892.80212014422	36000.0	car	work
173	1	656363.0564412234	233892.80212014422	658214.2139326897	235449.42740425112	28338.0	car	home
188	0	675611.012621857	215349.91300236402	676989.5922464674	217251.41500762315	36000.0	car	work
188	1	676989.5922464674	217251.41500762315	675611.012621857	215349.91300236402	26927.0	car	home
210	0	681191.8943094889	241303.82062283452	676393.0058440723	250275.82695296896	36000.0	car	work
210	1	676393.0058440723	250275.82695296896	681191.8943094889	241303.82062283452	24743.0	car	home
213	0	693331.5638366411	207760.27541235852	691667.6152547896	207714.70230419576	36000.0	car	work
213	1	691667.6152547896	207714.70230419576	688735.4020518226	205575.22493929142	3600.0	car	shop
213	2	688735.4020518226	205575.22493929142	689072.6199871632	205642.059112988	1800.0	car	leisure
213	3	689072.6199871632	205642.059112988	693331.5638366411	207760.27541235852	21253.0	car	home
217	0	671742.5302889248	218057.28859648068	665929.0074615976	212142.350238892	1800.0	car	leisure
217	1	665929.0074615976	212142.350238892	665637.2696995436	211674.21023559067	25200.0	car	work
217	2	665637.2696995436	211674.21023559067	664483.0660178155	208237.27789585633	7200.0	car	shop
217	3	664483.0660178155	208237.27789585633	665566.713043498	210662.27810097355	3600.0	car	education
217	4	665566.713043498	210662.27810097355	671742.5302889248	218057.28859648068	22172.0	car	home
247	0	678994.5993312954	201927.6261927795	674504.8415485052	204676.12687129347	10800.0	car	work
247	1	674504.8415485052	204676.12687129347	678869.8129984637	202657.7611272598	1800.0	car	shop
247	2	678869.8129984637	202657.7611272598	674959.604330725	204135.81528111355	10800.0	car	work
247	3	674959.604330725	204135.81528111355	678994.5993312954	201927.6261927795	7200.0	car	home
247	4	678994.5993312954	201927.6261927795	678579.7836937865	202421.15743181293	1800.0	car	shop
247	5	678579.7836937865	202421.15743181293	674048.3449920213	204616.54019526552	1800.0	car	leisure
247	6	674048.3449920213	204616.54019526552	678966.6658160264	202043.25043667768	1800.0	car	shop
247	7	678966.6658160264	202043.25043667768	678994.5993312954	201927.6261927795	30647.0	car	home
282	0	705729.8740361693	239921.84775972046	706756.5296479856	235161.95472618353	18000.0	car	work
282	1	706756.5296479856	235161.95472618353	706658.9639130377	235411.070531036	1800.0	car	shop
282	2	706658.9639130377	235411.070531036	706303.2669122481	235113.87839534035	18000.0	car	work
282	3	706303.2669122481	235113.87839534035	705729.8740361693	239921.84775972046	24366.0	car	home
296	0	729925.4658490042	254792.46329373377	728986.6600417398	256067.44318239862	18000.0	car	work
296	1	728986.6600417398	256067.44318239862	729925.4658490042	254792.46329373377	42342.0	car	home
310	0	726762.331554246	236620.05307822733	724946.8214649727	239860.06516502504	14400.0	car	work
310	1	724946.8214649727	239860.06516502504	726762.331554246	236620.05307822733	24181.0	car	home
326	0	666388.1025474834	210286.7682094737	666709.539226985	212228.31565633306	36000.0	car	work
326	1	666709.539226985	212228.31565633306	665365.9150687879	211303.11802440355	3600.0	car	leisure
326	2	665365.9150687879	211303.11802440355	666388.1025474834	210286.7682094737	12999.0	car	home
352	0	695599.6996345808	233904.51841469845	681876.366519206	249764.9148043438	36000.0	car	work
352	1	681876.366519206	249764.9148043438	682915.3542228024	247810.12217554802	7200.0	car	leisure
352	2	682915.3542228024	247810.12217554802	695599.6996345808	233904.51841469845	18236.0	car	home
365	0	664582.8167862629	259440.6984352191	682131.238295214	247021.16240535624	36000.0	car	work
365	1	682131.238295214	247021.16240535624	683972.9706724694	241538.4414808659	1800.0	car	shop
365	2	683972.9706724694	241538.4414808659	664582.8167862629	259440.6984352191	24116.0	car	home
371	0	732587.6790477565	244509.63122944653	739324.9705552274	246742.17131547784	21600.0	car	shop
371	1	739324.9705552274	246742.17131547784	738705.0846938536	249882.32145504825	10800.0	car	leisure
371	2	738705.0846938536	249882.32145504825	732587.6790477565	244509.63122944653	17276.0	car	home
374	0	665886.0613523015	239226.0814170998	677084.4741749449	250808.14483640823	39600.0	car	work
374	1	677084.4741749449	250808.14483640823	665886.0613523015	239226.0814170998	22346.0	car	home
383	0	682958.1887834299	262291.388700342	683011.9817498683	263742.39465036173	18000.0	car	work
383	1	683011.9817498683	263742.39465036173	684960.8824146348	256330.6838034055	3600.0	car	leisure
