Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,0-1km;0.280542612;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,0-1km;0.698604047;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,0-1km;0.883359611;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,0-1km;1.009465933;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,0-1km;1.100004673;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,0-1km;1.155112267;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,0-1km;1.21021986;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,0-1km;1.265327454;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,0-1km;1.320434928;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,9-10h,0-1km;1.375542521;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,10-11h,0-1km;1.430650473;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,11-12h,0-1km;1.485757828;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,>12h,0-1km;1.513312101;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.28538087;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.719647229;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.911093831;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;1.041274905;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;1.134728193;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;1.191575408;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;1.248422623;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;1.305269837;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;1.362117052;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;1.418964148;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;1.475811362;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;1.532658458;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;1.561082006;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.990418673;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;2.657198191;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;3.687782526;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;4.777820587;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;5.500161648;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;5.872639656;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;6.245115757;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;6.617593765;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;6.990069866;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;7.362546444;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;7.735023499;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;8.107503891;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;8.293737411;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.997770488;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;2.770987749;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;3.989943981;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;5.224170685;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;6.0458951;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,1-2km;6.455329895;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,1-2km;6.86476326;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,1-2km;7.274198055;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,1-2km;7.683633327;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,1-2km;8.093067169;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,1-2km;8.502501488;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,1-2km;8.91193676;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,1-2km;9.116653442;;;;;
