Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.76;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.52;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.28;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.57;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;3.80;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.62;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.32;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;3.67;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.84;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;4.72;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.36;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;5.77;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;9.88;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;6.82;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;11.40;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;7.87;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.92;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;8.92;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;14.44;;;
