Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,0-1h,0-1km;0.99;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,1-2h,0-1km;2.97;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,2-3h,0-1km;4.95;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,3-4h,0-1km;6.93;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,4-5h,0-1km;8.91;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,5-6h,0-1km;10.90;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,6-7h,0-1km;12.88;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,7-8h,0-1km;14.86;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,8-9h,0-1km;16.84;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,9-10h,0-1km;18.82;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,10-11h,0-1km;20.81;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,11-12h,0-1km;22.79;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,>12h,0-1km;23.79;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,0-1h,1-2km;2.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,1-2h,1-2km;7.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,2-3h,1-2km;11.68;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,3-4h,1-2km;16.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,4-5h,1-2km;21.03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,5-6h,1-2km;25.71;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,6-7h,1-2km;30.38;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,7-8h,1-2km;35.06;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,8-9h,1-2km;39.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,9-10h,1-2km;44.41;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,10-11h,1-2km;49.09;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,11-12h,1-2km;53.76;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;Tÿ,>12h,1-2km;56.12;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,0-1h,0-1km;2.19;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,1-2h,0-1km;2.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,2-3h,0-1km;2.47;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,3-4h,0-1km;2.61;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,4-5h,0-1km;2.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,5-6h,0-1km;2.88;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,6-7h,0-1km;3.02;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,7-8h,0-1km;3.16;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,8-9h,0-1km;3.30;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,9-10h,0-1km;3.43;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,10-11h,0-1km;3.57;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,11-12h,0-1km;3.71;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,>12h,0-1km;3.78;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,0-1h,1-2km;2.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,1-2h,1-2km;2.51;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,2-3h,1-2km;2.66;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,3-4h,1-2km;2.81;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,4-5h,1-2km;2.96;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,5-6h,1-2km;3.11;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,6-7h,1-2km;3.25;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,7-8h,1-2km;3.40;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,8-9h,1-2km;3.55;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,9-10h,1-2km;3.70;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,10-11h,1-2km;3.85;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,11-12h,1-2km;4.00;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;Tÿ,>12h,1-2km;4.07;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,0-1h,0-1km;9.66;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,1-2h,0-1km;10.56;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,2-3h,0-1km;11.46;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,3-4h,0-1km;12.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,4-5h,0-1km;13.25;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,5-6h,0-1km;14.15;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,6-7h,0-1km;15.05;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,7-8h,0-1km;15.95;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,8-9h,0-1km;16.84;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,9-10h,0-1km;17.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,10-11h,0-1km;18.64;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,11-12h,0-1km;19.54;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,>12h,0-1km;19.99;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,0-1h,1-2km;10.91;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,1-2h,1-2km;11.92;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,2-3h,1-2km;12.93;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;Tÿ,3-4h,1-2km;13.95;
