Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;0.01123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;0.03123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,2-3h,0-1km;0.04123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,3-4h,0-1km;0.05123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,4-5h,0-1km;0.05123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,5-6h,0-1km;0.06123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,6-7h,0-1km;0.06123456;;;;;
2020_Average_perVehCat;HGV;2020;REF D HB41;CH4;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat;urban bus;2020;REF D HB41;CH4;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat;coach;2020;REF D HB41;CH4;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat;motorcycle;2020;REF D HB41;CH4;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat;pass. car;2020;REF D HB41;CH4;Urban;TØ,7-8h,0-1km;0.06123456;;;;;
