Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%
PC[3.1];pass. car;2010;;FC;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000,00;1,00;46,63;;;7,22;;;;;;;;
PC[3.1];pass. car;2010;;FC;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000,00;1,00;46,64;;;2,57;;;;;;;;
PC[3.1];pass. car;2010;;FC;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000,00;1,00;12,72;;;1,23;;;;;;;;
PC[3.1];pass. car;2010;;FC;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000,00;1,00;12,72;;;5,61;;;;;;;;
PC[3.1];pass. car;2010;;HC;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000,00;1,00;46,63;;;0,05;;;;;;;;
PC[3.1];pass. car;2010;;HC;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000,00;1,00;46,64;;;2,00;;;;;;;;
PC[3.1];pass. car;2010;;HC;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000,00;1,00;12,72;;;4,23;;;;;;;;
PC[3.1];pass. car;2010;;HC;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000,00;1,00;12,72;;;8,05;;;;;;;;
PC[3.1];pass. car;2010;;CO;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000,00;1,00;46,63;;;1,24;;;;;;;;
PC[3.1];pass. car;2010;;CO;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000,00;1,00;46,64;;;2,06;;;;;;;;
