xcoord,ycoord,freespeed_accessibility,car_accessibility,bike_accessibility,walk_accessibility,pt_accessibility,population_density,population_density,
50.0,50.0,2.1766435716006,NaN,NaN,NaN,NaN,2.0,2.0,
150.0,50.0,2.2055702759681273,NaN,NaN,NaN,NaN,4.0,4.0,
250.0,50.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,

50.0,150.0,2.1555292541877096,NaN,NaN,NaN,NaN,4.0,4.0,
150.0,150.0,2.2055702759681273,NaN,NaN,NaN,NaN,4.0,4.0,
250.0,150.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,

50.0,250.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,
150.0,250.0,NaN,NaN,NaN,NaN,NaN,2.0,2.0,
250.0,250.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,

