"ID_PERSON"	"WP"	"TRIP_NR"	"S_Time"	"H_X"	"H_Y"	"S_X"	"S_Y"	"D_X"	"D_Y"	"BIKE"	"AGE"	"GENDER"	"LICENSE"	"GA"	"HT"	"TICKETS"	"CAR_AV"	"INC_1000"	"DAY"	"TRIP_MODE"	"TRIP_PURPOSE"	"TRIP_DISTANCE"	"TRIP_DURATION"	"ID_TOUR"
26861	4.23	1	760	-892002.98	15415066.1724151	-892002.98	15415066.1724151	-891274.8	15413903.3919111	0	45	1	1	0	0	0	1	14.8	3	3	1	1.3	10	268611
26861	4.23	2	800	-892002.98	15415066.1724151	-891274.8	15413903.3919111	-892007.93	15415067.4629425	0	45	1	1	0	0	0	1	14.69	3	1	1	1.3	115	268611
27081	2.96	1	690	-888044.88	15417693.7284108	-888044.88	15417693.7284108	-889463.89	15417767.5571467	0	40	0	1	0	0	1	3	2.43	5	1	1	1.4	30	270811
27081	2.96	2	730	-888044.88	15417693.7284108	-889463.89	15417767.5571467	-888044.88	15417693.7284108	0	40	0	1	0	0	1	3	2.89	5	1	1	1.4	15	270811
26601	2.92	1	420	-892023.88	15415732.6558487	-892023.88	15415732.6558487	-890390.46	15413969.0864625	0	16	0	0	0	0	1	3	4.03	3	4	2	2.3	33	266011
26601	2.92	2	735	-892023.88	15415732.6558487	-890390.46	15413969.0864625	-892023.88	15415732.6558487	0	16	0	0	0	0	1	3	4.17	3	4	2	2.3	30	266011
26601	2.92	3	820	-892023.88	15415732.6558487	-892023.88	15415732.6558487	-890390.46	15413969.0864625	0	16	0	0	0	0	1	3	4.8	3	4	2	2.3	30	266012
26601	2.92	4	1010	-892023.88	15415732.6558487	-890380.77	15413969.7350197	-892023.88	15415732.6558487	0	16	0	0	0	0	1	3	4.98	3	4	2	2.4	35	266012
26621	2.66	1	660	-893805.24	15416308.0239575	-893805.24	15416308.0239575	-894013.91	15416542.2315453	0	29	0	0	0	0	0	3	5.01	7	1	3	0.3	5	266211
26621	2.66	2	775	-893805.24	15416308.0239575	-894018.39	15416541.2833662	-893805.24	15416308.0239575	0	29	0	0	0	0	0	3	4.95	7	1	3	0.3	5	266211
71841	2.36	3	1180	-892004.67	15415891.5854689	-892004.67	15415891.5854689	-891487.89	15415439.6000467	1	33	0	1	1	0	1	2	13.03	4	2	4	0.7	5	718412
71841	2.36	4	1335	-892004.67	15415891.5854689	-891487.89	15415439.6000467	-892004.67	15415891.5854689	1	33	0	1	1	0	1	2	13.25	4	2	4	0.7	5	718412
