Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;%OfEmConcept;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%
HGV_detailed[4.1];HGV;2020;REF D HB41;HC;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;0.007695208;0.007438649;0.00795246;86.29055786;86.30230713;86.26737976;0.024028987;0.022754723;0.025280815;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;HC;MW;RUR/MW/130/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;17.75388718;17.76120567;17.75933456;0.019720666;0.018760396;0.020674733;17.57118225;17.73347473;17.43442726;0.081615463;0.071701698;0.091524474;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;HC;Urban;URB/Distr/30/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;27.41651535;27.41651535;27.41651535;0.012515993;0.012177655;0.012831954;27.4162674;27.41648865;27.41589928;0.068231113;0.06695538;0.069547683;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;HC;Urban;URB/Distr/30/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;9.494311333;9.494311333;9.494311333;0.031505615;0.030917941;0.032101467;9.478362083;9.49412632;9.454304695;0.148005322;0.14364019;0.153055429;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;CO;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;0.067722268;0.067386381;0.067753427;86.29055786;86.30230713;86.26737976;0.374292731;0.33953619;0.408089221;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;CO;MW;RUR/MW/130/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;17.75388718;17.76120567;17.75933456;0.166514069;0.162210986;0.171433806;17.57118225;17.73347473;17.43442726;0.951679826;0.868107378;1.043518901;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Distr/30/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;27.41651535;27.41651535;27.41651535;0.142779782;0.133499965;0.152131096;27.4162674;27.41648865;27.41589928;0.703257501;0.636680961;0.767513514;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Distr/30/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;9.494311333;9.494311333;9.494311333;0.283748806;0.272003382;0.295108557;9.478362083;9.49412632;9.454304695;1.671624184;1.48219955;1.857812285;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;NOx;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;0.192512646;0.16661498;0.217942297;86.29055786;86.30230713;86.26737976;0.811657786;0.774200261;0.877374589;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;NOx;MW;RUR/MW/130/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;17.75388718;17.76120567;17.75933456;0.960327148;0.867541134;1.051127315;17.57118225;17.73347473;17.43442726;5.138138294;4.797820091;5.263337135;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;NOx;Urban;URB/Distr/30/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;27.41651535;27.41651535;27.41651535;0.332090855;0.34398365;0.3123281;27.4162674;27.41648865;27.41589928;2.785682917;2.791629553;2.776877165;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;NOx;Urban;URB/Distr/30/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;9.494311333;9.494311333;9.494311333;1.860844851;1.605984449;2.144710541;9.478362083;9.49412632;9.454304695;8.976453781;7.965775013;9.602822304;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;144.4291992;137.4393311;151.4090118;86.29055786;86.30230713;86.26737976;216.0036316;183.5490265;248.5640869;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC;MW;RUR/MW/130/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;17.75388718;17.76120567;17.75933456;177.8964844;158.3617401;197.4675446;17.57118225;17.73347473;17.43442726;551.3656006;388.9541626;707.6711426;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC;Urban;URB/Distr/30/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;27.41651535;27.41651535;27.41651535;85.11116028;77.48884583;92.90187073;27.4162674;27.41648865;27.41589928;190.9174194;152.4669952;230.2121124;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC;Urban;URB/Distr/30/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;9.494311333;9.494311333;9.494311333;189.0492706;174.6023712;203.8313141;9.478362083;9.49412632;9.454304695;470.2059631;370.9734802;570.6293335;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC_MJ;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;6.143368244;5.846051216;6.440258026;86.29055786;86.30230713;86.26737976;9.190578461;7.809783936;10.57587147;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC_MJ;MW;RUR/MW/130/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;17.75388718;17.76120567;17.75933456;7.566916466;6.735996246;8.399381638;17.57118225;17.73347473;17.43442726;23.45661545;16.54728508;30.10620689;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC_MJ;Urban;URB/Distr/30/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;27.41651535;27.41651535;27.41651535;3.620245934;3.296026945;3.951627731;27.4162674;27.41648865;27.41589928;8.123639107;6.487525463;9.795670509;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;FC_MJ;Urban;URB/Distr/30/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;;9.494311333;9.494311333;9.494311333;8.041305542;7.426799774;8.670067787;9.478362083;9.49412632;9.454304695;20.0055809;15.78341484;24.27839851;;;;;;;
HGV_detailed[4.1];HGV;2020;REF D HB41;PM;MW;RUR/MW/130/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.024294695;;86.30230713;86.30230713;86.30230713;0.003248817;0.003251851;0.003231849;86.29055786;86.30230713;86.26737976;0.018360453;0.01813573;0.018423948;;;;;;;
