Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;416627655;;;1416626573;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;416627655;;;0.087756261;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;416627655;;;0.087756261;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;1248871803;;;2216767788;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;1248871803;;;0.260352999;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;1248871803;;;0.260352999;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;416627655;;;0.955499828;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;416627655;;;0.973219097;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;416627655;;;0.973219097;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;1248871803;;;1434307933;;;1248863316;;;0.548087835;;;ØGermany;;;;;;;
