Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%
2005HotDetailed[3.1];pass. car;2010;;FC;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;78.22;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;FC;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;28.57;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;FC;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;168.23;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;FC;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;55.61;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;HC;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;0.11;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;HC;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.02;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;HC;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;0.23;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;HC;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.05;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;1.24;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.06;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;0.99;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.20;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NO2;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;0.01;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NO2;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.21;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NO2;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;0.03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NO2;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.34;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NOx;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;0.30;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NOx;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.61;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NOx;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;0.60;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NOx;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.97;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO2(total);;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;245.25;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO2_TOTAL;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;90.85;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO2_TOTAL;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;527.43;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;CO2_TOTAL;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;176.79;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;PM;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;3.13999992795289e-03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;PM;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;PM;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;4.55000018700957e-03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;PM;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.05;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NMHC;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;0.10;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NMHC;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;0.02;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NMHC;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;0.21;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;NMHC;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;0.05;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;SO2;;URB/Local/50/Freeflow;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;46.63;;;1.2516473652795e-03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;SO2;;URB/Local/50/Freeflow;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;46.64;;;4.57277317764238e-04;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;SO2;;URB/Local/50/St+Go;0%;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.72;;;2.69179488532245e-03;;;;;;;;
2005HotDetailed[3.1];pass. car;2010;;SO2;;URB/Local/50/St+Go;0%;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.72;;;8.89820861630142e-04;;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.009760361;0.009436468;0.010088152;38.16640472;38.18578339;38.13743973;0.048620749;0.047146358;0.050322253;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.025365833;0.024709566;0.026037019;12.30854416;12.37026978;12.23582363;0.115925066;0.108884118;0.123373821;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.115415111;0.110178843;0.120714985;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.227791086;0.221458852;0.234649032;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.285102785;0.27881828;0.304360747;38.16640472;38.18578339;38.13743973;2.29156208;2.659352541;2.110444546;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;1.259275317;1.137871623;1.39725697;12.30854416;12.37026978;12.23582363;6.721096516;5.894152164;7.467396259;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;FC;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;90.35469055;81.16027069;99.65624237;38.16640472;38.18578339;38.13743973;207.2973328;153.9693451;261.3432922;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;FC;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;185.7426758;167.2447815;204.4297791;12.30854416;12.37026978;12.23582363;489.4849548;360.9529419;617.3493652;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;3.843282223;3.452192783;4.238928318;38.16640472;38.18578339;38.13743973;8.820799828;6.551762104;11.12039089;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;7.900658131;7.11384058;8.695523262;12.30854416;12.37026978;12.23582363;20.82605171;15.35742378;26.2663002;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.005609869;0.005308955;0.005927952;38.16640472;38.18578339;38.13743973;0.02732794;0.024686862;0.029873276;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PM;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.012821974;0.01287665;0.012772801;12.30854416;12.37026978;12.23582363;0.071998134;0.063997656;0.079645462;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PN;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;26954725376;25892917248;28053104640;38.16640472;38.18578339;38.13743973;1.60308E+13;1.47343E+13;1.73097E+13;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;PN;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;65737781248;63461744640;67970633728;12.30854416;12.37026978;12.23582363;3.33335E+13;3.05215E+13;3.61198E+13;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2(rep);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;264.0800781;237.2075043;291.2657776;38.16640472;38.18578339;38.13743973;605.7132568;449.8909912;763.6334229;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2(rep);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;542.8710327;488.8070984;597.487854;12.30854416;12.37026978;12.23582363;1430.256348;1054.690186;1803.871704;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2(total);Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;281.7669983;253.0946198;310.773468;38.16640472;38.18578339;38.13743973;646.4078979;480.1170349;814.937561;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CO2(total);Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;579.2301636;521.5452271;637.5050049;12.30854416;12.37026978;12.23582363;1526.344604;1125.547363;1925.059937;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NO2;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.079828776;0.078069121;0.085221007;38.16640472;38.18578339;38.13743973;0.425829202;0.516536117;0.391217232;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;NO2;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.352597088;0.318604052;0.391231954;12.30854416;12.37026978;12.23582363;1.337840796;1.124721646;1.531687856;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CH4;Urban;URB/Local/50/Freeflow;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;38.18581009;38.18581009;38.18581009;0.000234249;0.000226475;0.000242116;38.16640472;38.18578339;38.13743973;0.001376602;0.001281399;0.001477634;;;;;;;
2005HotDetailed[3.1];HGV;2020;REF D HB41;CH4;Urban;URB/Local/50/St+Go;0%;1423160;RT <=7.5t Euro-VI;diesel;RT ≤7,5t;HGV D Euro-VI;242272.5781;0.089462757;12.36580181;12.37195396;12.35350609;0.00060878;0.00059303;0.000624888;12.30854416;12.37026978;12.23582363;0.003263844;0.002954667;0.003581289;;;;;;;
