ZoneId	xCenter	yCenter	xMin	yMin	xMax	yMax	Area	Name
6712	588041.5	245841.5	585440	243955	590643	247728	12458658	Develier
71	680648.5	273793.5	678130	271322	683167	276265	8943458.5	Wil (ZH)
5006	720570	121981.5	718065	120535	723075	123428	7455916	Gnosca
3596	732453.8	177349.2	730765.5	176103.5	734142.1	178594.9	5669142.98283	Morissen
2266	582110	193411	581065	192175	583155	194647	3005046	Kleinbösingen
2915	695731	284768.5	694087	283022	697375	286515	5819495	Dörflingen
5759	523254.5	173921.5	520956	172345	525553	175498	6111911.5	Premier
6459	565798	208857.764955745	563943	206470.529911491	567653	211245	8872257.76576	Saint-Blaise
5408	558077.686773689	136643.6	555437.373547377	134420	560718	138867.2	10322973.1218	Noville
7004	762730.5	221278	758683	216428	766778	226128	29722080.5	Triesenberg
5521	536521.5	161396.5	535278	160260	537765	162533	3795460	Etagnières
5499	526750	161026.5	525375	159473	528125	162580	3977664	Senarclens
1363	698596.5	205960.5	695433	204453	701760	207468	10886530	Illgau
722	579079.5	219587.5	576217	217513	581942	221662	9103228.33614	Lamboing
6642	504733.5	119471	503495	118047	505972	120895	4390371.5	Vandoeuvres
6787	574381.5	258271.5	571935	257075	576828	259468	5652271.5	Damphreux
2067	566051	169313.5	563987	167534	568115	171093	7513446	Le Châtelard
2154	570745	160534	567805	157670	573685	163398	11452521	La Tour-de-Trême
6023	584755.5	123209	577828	116973	591683	129445	84970295.5	Conthey
4171	651776	268982.5	650152	267773	653400	270192	3299955.18015	Mettau
742	582835.5	214860.5	581821	213851	583850	215870	2163261.66554	Mörigen
29	690365	282126.5	689008	281160	691722	283093	2408955	Flurlingen
6233	612481.5	122541.5	609180	119870	615783	125213	16650867.5	Chandolin
2203	575134	186922.5	573738	185495	576530	188350	3004378	Lossy-Formangueires
58	679256	268203.5	676422	265817	682090	270590	12347790.9643	Glattfelden
153	700734.5	234306.2	697724	232277.4	703745	236335	12198536.9404	Hombrechtikon
2932	685370.5	284000.5	682933	280528	687808	287473	14173061	Beringen
101	675778.5	261491	673272	259490	678285	263492	9367034.5	Steinmaur
340	625232.5	224510.5	624025	222898	626440	226123	3984698.94622	Rütschelen
311	595475	209380	591425	207225	599525	211535	19816888.523	Schüpfen
