Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:14:09	12:14:09	12:14:09			12:14:09	12:14:09	12:14:09	12:14:09	12:14:09	12:14:12	12:14:12	12:14:12	12:14:12	12:14:12	12:14:12			12:14:14	12:14:14		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:04
1	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:14	12:14:15	12:14:15	12:14:15	12:14:15	12:14:15	12:14:15			12:14:16	12:14:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	12:14:16	12:14:16	12:14:16	12:14:16	12:14:16	12:14:16			12:14:16	12:14:16	12:14:18	12:14:18	12:14:18	12:14:18	12:14:18	12:14:18			12:14:18	12:14:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	12:14:19	12:14:19	12:14:19	12:14:19	12:14:19	12:14:19			12:14:19	12:14:19	12:14:20	12:14:20	12:14:20	12:14:20	12:14:20	12:14:20			12:14:20	12:14:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	12:14:20	12:14:20	12:14:20	12:14:20	12:14:20	12:14:20			12:14:20	12:14:20	12:14:22	12:14:22	12:14:22	12:14:22	12:14:22	12:14:22			12:14:22	12:14:22		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	12:14:22	12:14:22	12:14:22	12:14:22	12:14:22	12:14:22			12:14:22	12:14:22	12:14:24	12:14:24	12:14:24	12:14:24	12:14:24	12:14:24			12:14:24	12:14:24		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	12:14:24	12:14:24	12:14:24	12:14:24	12:14:24	12:14:24			12:14:24	12:14:24	12:14:26	12:14:26	12:14:26	12:14:26	12:14:26	12:14:26			12:14:26	12:14:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	12:14:26	12:14:26	12:14:26	12:14:26	12:14:26	12:14:26			12:14:26	12:14:26	12:14:27	12:14:27	12:14:27	12:14:27	12:14:27	12:14:27			12:14:28	12:14:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	12:14:28	12:14:28	12:14:28	12:14:28	12:14:28	12:14:28			12:14:28	12:14:28	12:14:29	12:14:29	12:14:29	12:14:29	12:14:29	12:14:29			12:14:30	12:14:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	12:14:30	12:14:30	12:14:30	12:14:30	12:14:30	12:14:30			12:14:30	12:14:30	12:14:31	12:14:31	12:14:31	12:14:31	12:14:31	12:14:31			12:14:32	12:14:32		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
