ID 	 NAME 	  <25 	  25<55 	 >55 
1	Aeugst am Albis	596	857	761
10	Obfelden	1741	2366	1880
100	Stadel	619	909	798
1001	Doppleschwand	280	351	206
1002	Entlebuch	1248	1558	1200
1003	Escholzmatt	1246	1498	1123
1004	Flühli	718	902	713
1005	Hasle (LU)	680	825	566
1006	Marbach (LU)	452	533	447
1007	Romoos	293	349	240
1008	Schüpfheim	1464	1777	1460
1009	Werthenstein	706	905	697
101	Steinmaur	1029	1558	1379
102	Weiach	318	467	436
1021	Aesch (LU)	337	453	336
1022	Altwis	126	179	116
1023	Ballwil	894	1229	684
1024	Emmen	8379	11628	11599
1025	Ermensee	327	425	256
1026	Eschenbach (LU)	1184	1566	1091
1027	Gelfingen	325	427	216
1028	Hämikon	174	239	134
1029	Herlisberg	94	133	68
1030	Hitzkirch	887	1132	781
1031	Hochdorf	3052	3895	3127
1032	Hohenrain	824	1017	524
1033	Inwil	795	1095	611
1034	Lieli	57	91	68
1035	Mosen	102	147	97
1036	Müswangen	170	240	123
1037	Rain	817	1060	622
1038	Retschwil	63	88	45
1039	Römerswil	502	656	346
1040	Rothenburg	3029	3987	2785
1041	Schongau	311	404	252
1042	Sulz (LU)	67	97	49
1051	Adligenswil	2535	3220	2057
1052	Buchrain	2313	3161	2057
1053	Dierikon	560	817	430
1054	Ebikon	3844	5193	4461
1055	Gisikon	396	586	310
1056	Greppen	315	462	294
1057	Honau	168	238	110
1058	Horw	4092	5980	7652
1059	Kriens	7313	10048	12400
1060	Littau	5236	7349	6398
1061	Luzen	10931	21037	27138
1062	Malters	2336	3016	2085
1063	Meggen	2117	2936	3618
1064	Meierskappel	410	557	402
1065	Root	1546	2216	1695
1066	Schwarzenberg	603	781	487
1067	Udligenswil	981	1244	837
1068	Vitznau	388	530	664
1069	Weggis	1015	1512	2356
1081	Beromünster	893	1162	862
1082	Büron	792	1009	626
1083	Buttisholz	1147	1469	812
1084	Eich	552	774	474
1085	Geuensee	971	1337	774
1086	Grosswangen	1144	1472	843
1087	Gunzwil	731	908	619
1088	Hildisrieden	663	848	659
1089	Knutwil	668	848	558
1090	Kulmerau	77	115	72
1091	Mauensee	435	605	356
1092	Neudorf	401	506	340
1093	Neuenkirch	2204	2937	1781
1094	Nottwil	1093	1545	831
1095	Oberkirch	1189	1654	993
1096	Pfeffikon	248	318	452
1097	Rickenbach (LU)	808	1023	652
1098	Ruswil	2530	3175	1940
1099	Schenkon	1037	1382	695
11	Ottenbach	873	1207	964
1100	Schlierbach	218	292	208
1101	Schwarzenbach	72	100	94
1102	Sempach	1531	1975	1260
1103	Sursee	2800	3897	3567
1104	Triengen	1199	1511	1070
1105	Wilihof	103	131	59
1106	Winikon	272	351	263
1107	Wolhusen	1594	2030	1531
111	Bäretswil	1732	2500	2293
112	Bubikon	1986	2750	2500
1121	Alberswil	194	285	180
1122	Altbüron	332	431	326
1123	Altishofen	543	727	417
1124	Buchs (LU)	147	187	135
1125	Dagmersellen	1334	1732	1240
1126	Ebersecken	174	223	103
1127	Egolzwil	506	701	399
1128	Ettiswil	726	912	551
1129	Fischbach	267	361	213
113	Dürnten	2403	3333	3147
1130	Gettnau	381	490	288
1131	Grossdietwil	312	409	265
1132	Hergiswil bei Willisau	778	925	474
1133	Kottwil	148	211	112
1134	Langnau bei Reiden	484	666	485
1135	Luthern	617	711	398
1136	Menznau	1123	1398	743
1137	Nebikon	817	1069	873
1138	Ohmstal	120	165	108
1139	Pfaffnau	819	1037	747
114	Fischenthal	772	1011	811
1140	Reiden	1465	1902	1612
1141	Richenthal	281	352	172
1142	Roggliswil	229	314	237
1143	Schötz	1279	1644	1157
1144	Uffikon	244	333	208
1145	Ufhusen	328	418	259
1146	Wauwil	688	868	471
1147	Wikon	470	620	641
1148	Willisau Land	1653	2115	1269
1149	Willisau Stadt	973	1347	1399
115	Gossau (ZH)	3623	5002	4603
1150	Zell (LU)	750	920	682
116	Grüningen	980	1377	1220
117	Hinwil	3627	5156	5247
118	Rüti (ZH)	4081	6113	6158
119	Seegräben	476	709	604
12	Rifferswil	278	389	361
120	Wald (ZH)	2920	3857	4409
1201	Altdorf (UR)	2162	2942	3614
1202	Andermatt	296	417	582
1203	Attinghausen	467	623	448
1204	Bauen	50	74	60
1205	Bürglen (UR)	1298	1621	1089
1206	Erstfeld	918	1206	1704
1207	Flüelen	539	757	605
1208	Göschenen	115	154	184
1209	Gurtnellen	161	213	238
121	Wetzikon (ZH)	5938	8726	8934
1210	Hospental	49	75	86
1211	Isenthal	169	199	147
1212	Realp	37	55	61
1213	Schattdorf	1759	2271	1708
1214	Seedorf (UR)	587	790	511
1215	Seelisberg	177	237	209
1216	Silenen	686	810	689
1217	Sisikon	99	158	147
1218	Spiringen	305	366	231
1219	Unterschächen	261	306	147
1220	Wassen	117	156	173
13	Stallikon	996	1536	1353
1301	Einsiedeln	4084	5598	4898
131	Adliswil	4781	7471	8888
1311	Gersau	576	786	830
132	Hirzel	705	931	796
1321	Feusisberg	1288	1917	1514
1322	Freienbach	4874	7421	6104
1323	Wollerau	2216	3338	2757
133	Horgen	5007	7662	8563
1331	Küssnacht am Rigi	3522	4988	4078
134	Hütten	296	424	372
1341	Altendorf	2021	2830	1904
1342	Galgenen	1463	2076	1781
1343	Innerthal	47	72	62
1344	Lachen	2186	3210	3115
1345	Reichenburg	1095	1436	1054
1346	Schübelbach	3056	4104	2433
1347	Tuggen	885	1224	813
1348	Vorderthal	330	408	302
1349	Wangen (SZ)	1822	2450	1668
135	Kilchberg (ZH)	2013	3320	4503
136	Langnau am Albis	2097	3078	3834
1361	Alpthal	156	214	162
1362	Arth	3042	4123	3799
1363	Illgau	278	355	172
1364	Ingenbohl	2343	3190	2965
1365	Lauerz	324	436	272
1366	Morschach	289	401	287
1367	Muotathal	1257	1520	903
1368	Oberiberg	226	314	307
1369	Riemenstalden	20	33	25
137	Oberrieden	1492	2238	3011
1370	Rothenthurm	696	926	482
1371	Sattel	513	655	465
1372	Schwyz	4489	6076	5040
1373	Steinen	980	1313	843
1374	Steinerberg	344	431	155
1375	Unteriberg	765	965	644
138	Richterswil	3972	5563	5789
139	Rüschlikon	1502	2330	3121
14	Wettswil am Albis	1385	1985	2476
140	Schönenberg (ZH)	707	935	838
1401	Alpnach	1967	2636	1827
1402	Engelberg	1061	1539	1772
1403	Giswil	1270	1582	1198
1404	Kerns	1884	2483	1802
1405	Lungern	673	873	910
1406	Sachseln	1645	2135	1775
1407	Sarnen	3304	4426	3970
141	Thalwil	4743	7927	9326
142	Wädenswil	5600	8470	8904
1501	Beckenried	860	1273	1076
1502	Buochs	1845	2551	2023
1503	Dallenwil	559	718	453
1504	Emmetten	340	498	420
1505	Ennetbürgen	1385	1977	1695
1506	Ennetmoos	760	1053	550
1507	Hergiswil (NW)	1336	2164	2618
1508	Oberdorf (NW)	1108	1522	943
1509	Stans	1945	2899	2634
151	Erlenbach (ZH)	1629	2372	2888
1510	Stansstad	1292	2130	2038
1511	Wolfenschiessen	653	833	490
152	Herrliberg	1792	2677	3204
153	Hombrechtikon	2647	3518	3327
154	Küsnacht (ZH)	3805	5689	8356
155	Männedorf	2805	4385	5704
156	Meilen	3515	5567	7092
157	Oetwil am See	1537	2261	1546
158	Stäfa	3961	5823	7423
159	Uetikon am See	1820	2718	2781
160	Zumikon	1515	2084	3062
1601	Betschwanden	46	68	70
1602	Bilten	606	847	661
1603	Braunwald	88	148	140
1604	Diesbach (GL)	48	75	95
1605	Elm	235	287	243
1606	Engi	155	216	293
1607	Ennenda	717	960	1148
1608	Filzbach	149	226	179
1609	Glarus	1474	2099	2617
161	Zollikon	3324	5216	7827
1610	Haslen	207	271	206
1611	Hätzingen	84	119	129
1612	Leuggelbach	44	64	59
1613	Linthal	329	424	384
1614	Luchsingen	199	264	268
1615	Matt	108	153	139
1616	Mitlödi	288	395	441
1617	Mollis	837	1172	1219
1618	Mühlehorn	124	173	159
1619	Näfels	1116	1478	1577
1620	Netstal	821	1101	1198
1621	Nidfurn	80	115	110
1622	Niederurnen	1106	1419	1500
1623	Oberurnen	665	918	705
1624	Obstalden	121	174	192
1625	Riedern	249	348	316
1626	Rüti (GL)	95	129	130
1627	Schwanden (GL)	624	842	1109
1628	Schwändi	123	175	222
1629	Sool	75	106	118
1701	Baar	6149	9953	8916
1702	Cham	4592	6772	5189
1703	Hünenberg	2881	3975	2864
1704	Menzingen	1403	1923	1224
1705	Neuheim	771	1096	553
1706	Oberägeri	1409	2085	1777
1707	Risch	3056	4537	2512
1708	Steinhausen	3036	4391	3096
1709	Unterägeri	2067	3013	2798
171	Bauma	1524	2052	1699
1710	Walchwil	1032	1558	1516
1711	Zug	5137	8738	9994
172	Fehraltorf	1860	2774	2051
173	Hittnau	1404	1977	1273
174	Illnau-Effretikon	4739	7428	8093
175	Kyburg	153	256	134
176	Lindau	1811	2487	2281
177	Pfäffikon	3707	5324	5271
178	Russikon	1489	2039	1779
179	Sternenberg	102	159	168
180	Weisslingen	1113	1494	1258
181	Wila	650	923	798
182	Wildberg	329	459	351
191	Dübendorf	6065	10158	10698
192	Egg	2779	3901	3796
193	Fällanden	2368	3459	3761
194	Greifensee	1858	2596	2429
195	Maur	3083	4530	4720
196	Mönchaltorf	1171	1678	1512
197	Schwerzenbach	1407	2271	1954
198	Uster	9013	13569	12812
199	Volketswil	4789	7511	5689
2	Affoltern am Albis	3647	5200	4846
200	Wangen-Brüttisellen	2459	3826	2878
2001	Aumont	144	195	161
2002	Autavaux	77	109	90
2003	Bollion	46	77	54
2004	Bussy (FR)	89	134	126
2005	Châbles	206	278	223
2007	Chapelle (Broye)	19	29	21
2008	Châtillon (FR)	112	161	158
2009	Cheiry	99	139	106
2010	Cheyres	243	357	459
2011	Cugy (FR)	337	448	424
2012	Delley	131	188	224
2013	Domdidier	853	1104	898
2014	Dompierre (FR)	249	353	257
2015	Estavayer-le-Lac	1537	2077	2075
2016	Fétigny	254	349	303
2017	Font	115	166	135
2018	Forel (FR)	141	192	153
2020	Frasses	57	87	48
2022	Gletterens	214	309	315
2023	Granges-de-Vesin	60	86	49
2024	Léchelles	239	327	256
2025	Lully (FR)	163	220	196
2026	Mannens-Grandsivaz	205	271	163
2027	Ménières	103	145	110
2029	Montagny (FR)	474	617	718
2031	Montbrelloz	123	166	99
2032	Montet (Broye)	151	214	159
2033	Morens (FR)	51	73	55
2034	Murist	154	210	192
2035	Nuvilly	113	151	139
2036	Portalban	110	161	173
2037	Praratoud	19	31	25
2038	Prévondavaux	21	34	23
2039	Rueyres-les-Prés	95	129	92
2040	Russy	70	102	87
2041	Saint-Aubin (FR)	501	637	509
2042	Seiry	86	135	71
2043	Sévaz	61	101	62
2044	Surpierre	76	100	99
2045	Vallon	109	148	118
2046	Vesin	114	155	127
2047	Villeneuve (FR)	80	129	127
2049	Vuissens	54	77	56
2061	Auboranges	88	127	75
2062	Berlens	102	139	65
2063	Billens-Hennens	234	304	232
2064	Bionnens	26	40	30
2066	Chapelle (Glâne)	84	118	87
2067	Le Châtelard	131	169	118
2068	Châtonnaye	199	275	237
2069	Chavannes-les-Forts	139	177	120
2070	Chavannes-sous-Orsonnens	100	138	78
2071	Les Ecasseys	20	32	16
2072	Ecublens (FR)	104	143	75
2074	Esmonts	61	85	65
2075	Estévenens	39	59	47
2077	Gillarens	76	105	88
2079	Grangettes	53	74	47
2081	La Joux (FR)	142	177	126
2082	Lieffrens	21	33	20
2083	Lussy (FR)	163	210	126
2085	La Magne	16	23	14
2086	Massonnens	171	226	123
2087	Mézières (FR)	273	349	250
2088	Middes	117	184	152
2089	Montet (Glâne)	81	128	127
2091	Mossel	49	70	48
2092	La Neirigue	21	32	20
2093	Orsonnens	111	159	113
2094	Prez-vers-Siviriez	95	127	106
2095	Promasens	91	140	127
2096	Romont (FR)	1326	1849	1950
2097	Rue	211	313	231
2099	Siviriez	368	462	376
21	Adlikon	210	275	199
2100	Sommentier	86	123	90
2101	Torny-le-Grand	127	177	113
2102	Ursy	315	406	367
2103	Vauderens	207	276	167
2105	Villaraboud	95	135	84
2107	Villargiroud	157	203	126
2108	Villariaz	148	195	123
2109	Villarimboud	196	246	156
211	Altikon	212	304	243
2110	Villarsiviriaux	75	109	76
2111	Villaz-Saint-Pierre	344	472	319
2112	Vuarmarens	143	187	138
2113	Vuisternens-devant-Romont	206	270	161
212	Bertschikon	373	497	354
2121	Albeuve	197	267	294
2122	Avry-devant-Pont	173	241	186
2123	Botterens	126	199	167
2124	Broc	685	933	1102
2125	Bulle	4019	5621	5523
2126	Cerniat (FR)	113	166	126
2127	Charmey	567	719	824
2128	Châtel-sur-Montsalvens	70	104	100
2129	Corbières	161	233	154
213	Brütten	680	975	931
2130	Crésuz	74	122	220
2131	Echarlens	254	354	245
2132	Enney	177	256	291
2133	Estavannens	112	150	108
2134	Grandvillard	232	304	262
2135	Gruyères	547	754	714
2136	Gumefens	266	373	277
2137	Hauteville	191	273	218
2138	Jaun	249	303	291
2139	Lessoc	72	92	77
214	Dägerlen	345	475	360
2140	Marsens	453	581	424
2141	Maules	87	117	80
2142	Montbovon	68	108	140
2143	Morlon	238	338	274
2144	Neirivue	112	164	160
2145	Le Pâquier (FR)	400	515	366
2146	Le Bry	109	153	129
2147	Pont-la-Ville	196	278	174
2148	Riaz	820	1107	868
2149	La Roche	466	615	506
215	Dättlikon	230	339	264
2150	Romanens	106	136	89
2151	Rueyres-Treyfayes	49	71	48
2152	Sâles (Gruyère)	236	308	227
2153	Sorens	273	371	358
2154	La Tour-de-Trême	1543	2175	1795
2155	Vaulruz	315	429	323
2156	Villarbeney	39	62	61
2158	Villars-sous-Mont	63	113	104
2159	Villarvolard	87	130	109
216	Dinhard	513	711	753
2160	Vuadens	656	831	732
2161	Vuippens	97	142	99
217	Elgg	1216	1698	1843
2171	Arconciel	294	393	309
2172	Autafond	24	38	28
2173	Autigny	249	351	198
2174	Avry-sur-Matran	669	890	421
2175	Belfaux	998	1318	905
2176	Bonnefontaine	223	321	248
2177	Chénens	260	338	160
2179	Chésopelloz	37	58	39
218	Ellikon an der Thur	291	411	318
2180	La Corbaz	146	208	119
2181	Corjolens	24	40	26
2182	Cormagens	45	78	50
2183	Corminboeuf	877	1139	742
2184	Corpataux-Magnedens	373	512	288
2185	Corserey	114	155	108
2186	Cottens (FR)	467	630	422
2188	Ecuvillens	362	495	383
2189	Ependes (FR)	519	662	342
219	Elsau	1220	1630	1655
2190	Essert (FR)	154	232	180
2191	Estavayer-le-Gibloux	45	68	67
2192	Farvagny	916	1166	648
2194	Ferpicloz	78	118	114
2196	Fribourg	9585	16163	13810
2197	Givisiez	1028	1535	795
2198	Granges-Paccot	977	1449	780
22	Benken (ZH)	272	388	294
220	Hagenbuch	404	600	394
2200	Grolley	717	978	548
2202	Lentigny	256	394	235
2203	Lossy-Formangueires	214	293	171
2204	Lovens	58	91	67
2206	Marly	2992	3996	3334
2208	Matran	658	858	535
221	Hettlingen	1143	1565	1559
2210	Montévraz	195	287	159
2211	Neyruz (FR)	897	1103	703
