Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:41:40	18:41:40	18:41:40			18:41:40	18:41:40	18:41:40	18:41:40	18:41:40	18:41:42	18:41:42	18:41:42	18:41:42	18:41:42	18:41:42			18:41:44	18:41:44		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:04
1	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:45	18:41:46	18:41:46	18:41:46	18:41:46	18:41:46	18:41:46			18:41:47	18:41:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
2	18:41:48	18:41:48	18:41:48	18:41:48	18:41:48	18:41:48			18:41:48	18:41:48	18:41:49	18:41:49	18:41:49	18:41:49	18:41:49	18:41:49			18:41:50	18:41:50		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	18:41:50	18:41:50	18:41:50	18:41:50	18:41:50	18:41:50			18:41:50	18:41:50	18:41:51	18:41:51	18:41:51	18:41:51	18:41:51	18:41:51			18:41:52	18:41:52		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	18:41:52	18:41:52	18:41:52	18:41:52	18:41:52	18:41:52			18:41:52	18:41:52	18:41:53	18:41:53	18:41:53	18:41:53	18:41:53	18:41:53			18:41:54	18:41:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	18:41:54	18:41:54	18:41:54	18:41:54	18:41:54	18:41:54			18:41:54	18:41:54	18:41:55	18:41:55	18:41:55	18:41:55	18:41:55	18:41:55			18:41:56	18:41:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	18:41:56	18:41:56	18:41:56	18:41:56	18:41:56	18:41:56			18:41:56	18:41:56	18:41:57	18:41:57	18:41:57	18:41:57	18:41:57	18:41:57			18:41:58	18:41:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	18:41:58	18:41:58	18:41:58	18:41:58	18:41:58	18:41:58			18:41:58	18:41:58	18:41:59	18:41:59	18:41:59	18:41:59	18:41:59	18:41:59			18:42:00	18:42:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	18:42:00	18:42:00	18:42:00	18:42:00	18:42:00	18:42:00			18:42:00	18:42:00	18:42:01	18:42:01	18:42:01	18:42:01	18:42:01	18:42:01			18:42:02	18:42:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	18:42:02	18:42:02	18:42:02	18:42:02	18:42:02	18:42:02			18:42:02	18:42:02	18:42:03	18:42:03	18:42:03	18:42:03	18:42:03	18:42:03			18:42:04	18:42:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:04	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06	18:42:06		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
