Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:33:07	17:33:07	17:33:07			17:33:07	17:33:07	17:33:07	17:33:07	17:33:07	17:33:09	17:33:09	17:33:09	17:33:09	17:33:09	17:33:09			17:33:11	17:33:11		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	17:33:11	17:33:11	17:33:11	17:33:11	17:33:12	17:33:12	17:33:12	17:33:12	17:33:12	17:33:12	17:33:14	17:33:14	17:33:14	17:33:14	17:33:14	17:33:14			17:33:15	17:33:15		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
2	17:33:16	17:33:16	17:33:16	17:33:16	17:33:16	17:33:16			17:33:16	17:33:16	17:33:17	17:33:17	17:33:17	17:33:17	17:33:17	17:33:17			17:33:18	17:33:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	17:33:18	17:33:18	17:33:18	17:33:18	17:33:18	17:33:18			17:33:18	17:33:18	17:33:20	17:33:20	17:33:20	17:33:20	17:33:20	17:33:20			17:33:21	17:33:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	17:33:21	17:33:21	17:33:21	17:33:21	17:33:21	17:33:21			17:33:21	17:33:21	17:33:23	17:33:23	17:33:23	17:33:23	17:33:23	17:33:23			17:33:24	17:33:24		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	17:33:24	17:33:24	17:33:24	17:33:24	17:33:24	17:33:24			17:33:24	17:33:24	17:33:26	17:33:26	17:33:26	17:33:26	17:33:26	17:33:26			17:33:27	17:33:27		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	17:33:27	17:33:27	17:33:27	17:33:27	17:33:27	17:33:27			17:33:27	17:33:27	17:33:29	17:33:29	17:33:29	17:33:29	17:33:29	17:33:29			17:33:30	17:33:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	17:33:30	17:33:30	17:33:30	17:33:30	17:33:30	17:33:30			17:33:30	17:33:30	17:33:32	17:33:32	17:33:32	17:33:32	17:33:32	17:33:32			17:33:33	17:33:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	17:33:33	17:33:33	17:33:33	17:33:33	17:33:33	17:33:33			17:33:33	17:33:33	17:33:35	17:33:35	17:33:35	17:33:35	17:33:35	17:33:35			17:33:35	17:33:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	17:33:36	17:33:36	17:33:36	17:33:36	17:33:36	17:33:36			17:33:36	17:33:36	17:33:37	17:33:37	17:33:37	17:33:37	17:33:37	17:33:37			17:33:38	17:33:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:39	17:33:40	17:33:40	17:33:40	17:33:40	17:33:40	17:33:40	17:33:40	17:33:40	17:33:41	17:33:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
