Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:40:09	17:40:09	17:40:09			17:40:09	17:40:09	17:40:09	17:40:09	17:40:09	17:40:11	17:40:11	17:40:11	17:40:11	17:40:11	17:40:11			17:40:13	17:40:13		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
1	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:13	17:40:15	17:40:15	17:40:15	17:40:15	17:40:15	17:40:15			17:40:17	17:40:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	17:40:17	17:40:17	17:40:17	17:40:17	17:40:17	17:40:17			17:40:17	17:40:17	17:40:19	17:40:19	17:40:19	17:40:19	17:40:19	17:40:19			17:40:20	17:40:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	17:40:20	17:40:20	17:40:20	17:40:20	17:40:20	17:40:20			17:40:20	17:40:20	17:40:22	17:40:22	17:40:22	17:40:22	17:40:22	17:40:22			17:40:23	17:40:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	17:40:23	17:40:23	17:40:23	17:40:23	17:40:23	17:40:23			17:40:23	17:40:23	17:40:25	17:40:25	17:40:25	17:40:25	17:40:25	17:40:25			17:40:26	17:40:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	17:40:26	17:40:26	17:40:26	17:40:26	17:40:26	17:40:26			17:40:26	17:40:26	17:40:27	17:40:27	17:40:27	17:40:27	17:40:27	17:40:27			17:40:28	17:40:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	17:40:29	17:40:29	17:40:29	17:40:29	17:40:29	17:40:29			17:40:29	17:40:29	17:40:30	17:40:30	17:40:30	17:40:30	17:40:30	17:40:30			17:40:31	17:40:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	17:40:31	17:40:31	17:40:31	17:40:31	17:40:31	17:40:31			17:40:31	17:40:31	17:40:33	17:40:33	17:40:33	17:40:33	17:40:33	17:40:33			17:40:34	17:40:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	17:40:34	17:40:34	17:40:34	17:40:34	17:40:34	17:40:34			17:40:34	17:40:34	17:40:36	17:40:36	17:40:36	17:40:36	17:40:36	17:40:36			17:40:37	17:40:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	17:40:37	17:40:37	17:40:37	17:40:37	17:40:37	17:40:37			17:40:37	17:40:37	17:40:38	17:40:38	17:40:38	17:40:38	17:40:38	17:40:38			17:40:39	17:40:39		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:40	17:40:42	17:40:42	17:40:42	17:40:42	17:40:42	17:40:42	17:40:42	17:40:42	17:40:43	17:40:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
