ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
1	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
2	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
3	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
4	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
5	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
6	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
7	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
8	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
9	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
10	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
