Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:59:22	17:59:22	17:59:22			17:59:22	17:59:22	17:59:22	17:59:22	17:59:22	17:59:24	17:59:24	17:59:24	17:59:24	17:59:24	17:59:24			17:59:25	17:59:25		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
1	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:26	17:59:27	17:59:27	17:59:27	17:59:27	17:59:27	17:59:27			17:59:29	17:59:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	17:59:29	17:59:29	17:59:29	17:59:29	17:59:29	17:59:29			17:59:29	17:59:29	17:59:31	17:59:31	17:59:31	17:59:31	17:59:31	17:59:31			17:59:32	17:59:32		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	17:59:32	17:59:32	17:59:32	17:59:32	17:59:32	17:59:32			17:59:32	17:59:32	17:59:34	17:59:34	17:59:34	17:59:34	17:59:34	17:59:34			17:59:35	17:59:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
4	17:59:35	17:59:35	17:59:35	17:59:35	17:59:35	17:59:35			17:59:35	17:59:35	17:59:37	17:59:37	17:59:37	17:59:37	17:59:37	17:59:37			17:59:38	17:59:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	17:59:38	17:59:38	17:59:38	17:59:38	17:59:38	17:59:38			17:59:38	17:59:38	17:59:40	17:59:40	17:59:40	17:59:40	17:59:40	17:59:40			17:59:41	17:59:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	17:59:41	17:59:41	17:59:41	17:59:41	17:59:41	17:59:41			17:59:41	17:59:41	17:59:42	17:59:42	17:59:42	17:59:42	17:59:42	17:59:42			17:59:43	17:59:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	17:59:43	17:59:43	17:59:43	17:59:43	17:59:43	17:59:43			17:59:43	17:59:43	17:59:45	17:59:45	17:59:45	17:59:45	17:59:45	17:59:45			17:59:46	17:59:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	17:59:46	17:59:46	17:59:46	17:59:46	17:59:46	17:59:46			17:59:46	17:59:46	17:59:48	17:59:48	17:59:48	17:59:48	17:59:48	17:59:48			17:59:49	17:59:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	17:59:49	17:59:49	17:59:49	17:59:49	17:59:49	17:59:49			17:59:49	17:59:49	17:59:51	17:59:51	17:59:51	17:59:51	17:59:51	17:59:51			17:59:52	17:59:52		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:52	17:59:53	17:59:53	17:59:53	17:59:53	17:59:54	17:59:54	17:59:54	17:59:54	17:59:54	17:59:54		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
