ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
1	-46.54824256314938	-46.54824256314938	-46.54824256314938	-46.54824256314938
2	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
3	-46.54824256314938	-46.54824256314938	-45.67194373960287	-43.91934609250983
4	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
5	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
6	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
7	-46.54824256314938	-46.54824256314938	-45.49668397489355	-43.91934609250983
8	-43.91934609250983	-46.54824256314938	-45.23379432782961	-43.91934609250983
9	-43.91934609250983	-46.54824256314938	-44.97090468076565	-43.91934609250983
10	-46.54824256314938	-46.54824256314938	-45.23379432782961	-43.91934609250983
11	-43.91934609250983	-46.54824256314938	-44.79564491605635	-43.91934609250983
12	-46.54824256314938	-46.54824256314938	-44.79564491605635	-43.91934609250983
13	-43.91934609250983	-46.54824256314938	-44.35749550428309	-43.91934609250983
14	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
15	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
16	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
17	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
18	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
19	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
20	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
21	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
22	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
23	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
24	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
25	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
26	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
27	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
28	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
29	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
30	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
31	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
32	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
33	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
34	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
35	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
36	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
37	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
38	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
39	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
40	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
41	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
42	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
43	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
44	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
45	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
46	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
47	-46.54824256314938	-46.54824256314938	-44.35749550428309	-43.91934609250983
48	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
49	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
50	-43.91934609250983	-43.91934609250983	-43.91934609250983	-43.91934609250983
