Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:14:41	18:14:41	18:14:41			18:14:41	18:14:41	18:14:41	18:14:41	18:14:41	18:14:44	18:14:44	18:14:44	18:14:44	18:14:44	18:14:44			18:14:45	18:14:45		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
1	18:14:45	18:14:45	18:14:45	18:14:45	18:14:45	18:14:45	18:14:46	18:14:46	18:14:46	18:14:46	18:14:47	18:14:47	18:14:47	18:14:47	18:14:47	18:14:47			18:14:49	18:14:49		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	18:14:49	18:14:49	18:14:49	18:14:49	18:14:49	18:14:49			18:14:49	18:14:49	18:14:50	18:14:50	18:14:50	18:14:50	18:14:50	18:14:50			18:14:51	18:14:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	18:14:51	18:14:51	18:14:51	18:14:51	18:14:51	18:14:51			18:14:51	18:14:51	18:14:53	18:14:53	18:14:53	18:14:53	18:14:53	18:14:53			18:14:54	18:14:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	18:14:55	18:14:55	18:14:55	18:14:55	18:14:55	18:14:55			18:14:55	18:14:55	18:14:56	18:14:56	18:14:56	18:14:56	18:14:56	18:14:56			18:14:57	18:14:57		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	18:14:57	18:14:57	18:14:57	18:14:57	18:14:57	18:14:57			18:14:57	18:14:57	18:14:59	18:14:59	18:14:59	18:14:59	18:14:59	18:14:59			18:15:00	18:15:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	18:15:00	18:15:00	18:15:00	18:15:00	18:15:00	18:15:00			18:15:00	18:15:00	18:15:02	18:15:02	18:15:02	18:15:02	18:15:02	18:15:02			18:15:03	18:15:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	18:15:03	18:15:03	18:15:03	18:15:03	18:15:03	18:15:03			18:15:03	18:15:03	18:15:04	18:15:04	18:15:04	18:15:04	18:15:04	18:15:04			18:15:05	18:15:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	18:15:05	18:15:05	18:15:05	18:15:05	18:15:05	18:15:05			18:15:05	18:15:05	18:15:07	18:15:07	18:15:07	18:15:07	18:15:07	18:15:07			18:15:08	18:15:08		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	18:15:08	18:15:08	18:15:08	18:15:08	18:15:08	18:15:08			18:15:08	18:15:08	18:15:09	18:15:09	18:15:09	18:15:09	18:15:09	18:15:09			18:15:10	18:15:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
