ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-51.25940081866405	-51.25940081866405	-51.25940081866405	-51.25940081866405
1	-51.25940081866405	-51.25940081866405	-51.25940081866405	-51.25940081866405
2	-51.25940081866405	-51.25940081866405	-51.25940081866405	-51.25940081866405
3	-51.25940081866405	-51.25940081866405	-51.25940081866405	-51.25940081866405
4	-48.17700639470803	-51.25940081866405	-49.71820360668604	-48.17700639470803
5	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
6	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
7	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
8	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
9	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
10	-48.17700639470803	-51.25940081866405	-49.71820360668603	-48.17700639470803
