Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:34:04	18:34:04	18:34:04			18:34:04	18:34:04	18:34:04	18:34:04	18:34:04	18:34:06	18:34:06	18:34:06	18:34:06	18:34:06	18:34:06			18:34:08	18:34:08		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:08	18:34:10	18:34:10	18:34:10	18:34:10	18:34:10	18:34:10			18:34:12	18:34:12		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	18:34:12	18:34:12	18:34:12	18:34:12	18:34:12	18:34:12			18:34:12	18:34:12	18:34:13	18:34:13	18:34:13	18:34:13	18:34:13	18:34:13			18:34:14	18:34:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	18:34:15	18:34:15	18:34:15	18:34:15	18:34:15	18:34:15			18:34:15	18:34:15	18:34:16	18:34:16	18:34:16	18:34:16	18:34:16	18:34:16			18:34:17	18:34:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	18:34:17	18:34:17	18:34:17	18:34:17	18:34:17	18:34:17			18:34:17	18:34:17	18:34:19	18:34:19	18:34:19	18:34:19	18:34:19	18:34:19			18:34:20	18:34:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	18:34:20	18:34:20	18:34:20	18:34:20	18:34:20	18:34:20			18:34:20	18:34:20	18:34:22	18:34:22	18:34:22	18:34:22	18:34:22	18:34:22			18:34:23	18:34:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	18:34:23	18:34:23	18:34:23	18:34:23	18:34:23	18:34:23			18:34:23	18:34:23	18:34:25	18:34:25	18:34:25	18:34:25	18:34:25	18:34:25			18:34:26	18:34:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	18:34:26	18:34:26	18:34:26	18:34:26	18:34:26	18:34:26			18:34:26	18:34:26	18:34:28	18:34:28	18:34:28	18:34:28	18:34:28	18:34:28			18:34:29	18:34:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	18:34:29	18:34:29	18:34:29	18:34:29	18:34:29	18:34:29			18:34:29	18:34:29	18:34:31	18:34:31	18:34:31	18:34:31	18:34:31	18:34:31			18:34:32	18:34:32		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	18:34:32	18:34:32	18:34:32	18:34:32	18:34:32	18:34:32			18:34:32	18:34:32	18:34:34	18:34:34	18:34:34	18:34:34	18:34:34	18:34:34			18:34:35	18:34:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:35	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37	18:34:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
