ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-41.96121150083001	-41.96121150083001	-41.96121150083001	-41.96121150083001
1	-41.96121150083001	-41.96121150083001	-41.96121150083001	-41.96121150083001
2	-41.96121150083001	-41.96121150083001	-41.96121150083001	-41.96121150083001
3	-41.96121150083001	-41.96121150083001	-41.96121150083001	-41.96121150083001
4	-41.96121150083001	-41.96121150083001	-41.96121150083001	-41.96121150083001
5	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
6	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
7	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
8	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
9	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
10	-41.96121150083001	-41.96121150083001	-41.961211500830004	-41.96121150083001
