Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:43:33	17:43:33	17:43:33			17:43:33	17:43:33	17:43:33	17:43:33	17:43:33	17:43:35	17:43:35	17:43:35	17:43:35	17:43:35	17:43:35			17:43:37	17:43:37		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:39	17:43:39	17:43:39	17:43:39	17:43:39	17:43:39			17:43:41	17:43:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	17:43:41	17:43:41	17:43:41	17:43:41	17:43:41	17:43:41			17:43:41	17:43:41	17:43:43	17:43:43	17:43:43	17:43:43	17:43:43	17:43:43			17:43:44	17:43:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	17:43:44	17:43:44	17:43:44	17:43:44	17:43:44	17:43:44			17:43:44	17:43:44	17:43:46	17:43:46	17:43:46	17:43:46	17:43:46	17:43:46			17:43:47	17:43:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
4	17:43:47	17:43:47	17:43:47	17:43:47	17:43:47	17:43:47			17:43:47	17:43:47	17:43:49	17:43:49	17:43:49	17:43:49	17:43:49	17:43:49			17:43:50	17:43:50		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	17:43:50	17:43:50	17:43:50	17:43:50	17:43:50	17:43:50			17:43:50	17:43:50	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52			17:43:53	17:43:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	17:43:53	17:43:53	17:43:53	17:43:53	17:43:53	17:43:53			17:43:53	17:43:53	17:43:55	17:43:55	17:43:55	17:43:55	17:43:55	17:43:55			17:43:56	17:43:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	17:43:56	17:43:56	17:43:56	17:43:56	17:43:56	17:43:56			17:43:56	17:43:56	17:43:58	17:43:58	17:43:58	17:43:58	17:43:58	17:43:58			17:43:59	17:43:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	17:43:59	17:43:59	17:43:59	17:43:59	17:43:59	17:43:59			17:43:59	17:43:59	17:44:01	17:44:01	17:44:01	17:44:01	17:44:01	17:44:01			17:44:02	17:44:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02			17:44:02	17:44:02	17:44:03	17:44:03	17:44:03	17:44:03	17:44:03	17:44:03			17:44:04	17:44:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	17:44:04	17:44:04	17:44:04	17:44:04	17:44:05	17:44:05	17:44:05	17:44:05	17:44:05	17:44:05	17:44:06	17:44:06	17:44:06	17:44:06	17:44:06	17:44:06	17:44:06	17:44:06	17:44:07	17:44:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
