ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-48.17700639470803	-48.17700639470803	-48.17700639470803	-48.17700639470803
1	-48.17700639470803	-48.17700639470803	-48.17700639470803	-48.17700639470803
2	-48.17700639470803	-48.17700639470803	-48.17700639470803	-48.17700639470803
3	-48.17700639470803	-48.17700639470803	-48.17700639470803	-48.17700639470803
4	-48.17700639470803	-48.17700639470803	-48.17700639470803	-48.17700639470803
5	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
6	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
7	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
8	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
9	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
10	-48.17700639470803	-48.17700639470803	-48.17700639470802	-48.17700639470803
