Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:29:11	12:29:11	12:29:11			12:29:11	12:29:11	12:29:11	12:29:11	12:29:11	12:29:13	12:29:13	12:29:13	12:29:13	12:29:13	12:29:13			12:29:15	12:29:15		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:15	12:29:17	12:29:17	12:29:17	12:29:17	12:29:17	12:29:17			12:29:18	12:29:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	12:29:19	12:29:19	12:29:19	12:29:19	12:29:19	12:29:19			12:29:19	12:29:19	12:29:20	12:29:20	12:29:20	12:29:20	12:29:20	12:29:20			12:29:21	12:29:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	12:29:21	12:29:21	12:29:21	12:29:21	12:29:21	12:29:21			12:29:21	12:29:21	12:29:23	12:29:23	12:29:23	12:29:23	12:29:23	12:29:23			12:29:24	12:29:24		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	12:29:24	12:29:24	12:29:24	12:29:24	12:29:24	12:29:24			12:29:24	12:29:24	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26	12:29:26			12:29:27	12:29:27		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	12:29:27	12:29:27	12:29:27	12:29:27	12:29:27	12:29:27			12:29:27	12:29:27	12:29:29	12:29:29	12:29:29	12:29:29	12:29:29	12:29:29			12:29:30	12:29:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	12:29:30	12:29:30	12:29:30	12:29:30	12:29:30	12:29:30			12:29:30	12:29:30	12:29:32	12:29:32	12:29:32	12:29:32	12:29:32	12:29:32			12:29:33	12:29:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	12:29:33	12:29:33	12:29:33	12:29:33	12:29:33	12:29:33			12:29:33	12:29:33	12:29:34	12:29:34	12:29:34	12:29:34	12:29:34	12:29:34			12:29:35	12:29:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	12:29:36	12:29:36	12:29:36	12:29:36	12:29:36	12:29:36			12:29:36	12:29:36	12:29:37	12:29:37	12:29:37	12:29:37	12:29:37	12:29:37			12:29:38	12:29:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	12:29:38	12:29:38	12:29:38	12:29:38	12:29:38	12:29:38			12:29:38	12:29:38	12:29:40	12:29:40	12:29:40	12:29:40	12:29:40	12:29:40			12:29:41	12:29:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:41	12:29:43	12:29:43	12:29:43	12:29:43	12:29:43	12:29:43	12:29:43	12:29:43	12:29:44	12:29:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
