Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:07:43	13:07:43	13:07:43			13:07:43	13:07:43	13:07:43	13:07:43	13:07:43	13:07:46	13:07:46	13:07:46	13:07:46	13:07:46	13:07:46			13:07:49	13:07:49		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:03	00:00:06
1	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:50	13:07:51	13:07:51	13:07:51	13:07:51	13:07:51	13:07:51			13:07:53	13:07:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	13:07:53	13:07:53	13:07:53	13:07:53	13:07:53	13:07:53			13:07:53	13:07:53	13:07:55	13:07:55	13:07:55	13:07:55	13:07:55	13:07:55			13:07:56	13:07:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	13:07:56	13:07:56	13:07:56	13:07:56	13:07:56	13:07:56			13:07:56	13:07:56	13:07:58	13:07:58	13:07:58	13:07:58	13:07:58	13:07:58			13:07:59	13:07:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	13:07:59	13:07:59	13:07:59	13:07:59	13:07:59	13:07:59			13:07:59	13:07:59	13:08:01	13:08:01	13:08:01	13:08:01	13:08:01	13:08:01			13:08:02	13:08:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	13:08:02	13:08:02	13:08:02	13:08:02	13:08:02	13:08:02			13:08:02	13:08:02	13:08:03	13:08:03	13:08:03	13:08:03	13:08:03	13:08:03			13:08:04	13:08:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	13:08:05	13:08:05	13:08:05	13:08:05	13:08:05	13:08:05			13:08:05	13:08:05	13:08:06	13:08:06	13:08:06	13:08:06	13:08:06	13:08:06			13:08:07	13:08:07		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
7	13:08:07	13:08:07	13:08:07	13:08:07	13:08:07	13:08:07			13:08:07	13:08:07	13:08:09	13:08:09	13:08:09	13:08:09	13:08:09	13:08:09			13:08:10	13:08:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	13:08:10	13:08:10	13:08:10	13:08:10	13:08:10	13:08:10			13:08:10	13:08:10	13:08:12	13:08:12	13:08:12	13:08:12	13:08:12	13:08:12			13:08:13	13:08:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	13:08:13	13:08:13	13:08:13	13:08:13	13:08:13	13:08:13			13:08:13	13:08:13	13:08:14	13:08:14	13:08:14	13:08:14	13:08:14	13:08:14			13:08:15	13:08:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:16	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18	13:08:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
