Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:01:39	15:01:39	15:01:39			15:01:39	15:01:39	15:01:39	15:01:39	15:01:39	15:01:41	15:01:41	15:01:41	15:01:41	15:01:41	15:01:41			15:01:43	15:01:43		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:43	15:01:45	15:01:45	15:01:45	15:01:45	15:01:45	15:01:45			15:01:47	15:01:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
2	15:01:47	15:01:47	15:01:47	15:01:47	15:01:47	15:01:47			15:01:47	15:01:47	15:01:49	15:01:49	15:01:49	15:01:49	15:01:49	15:01:49			15:01:50	15:01:50		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	15:01:50	15:01:50	15:01:50	15:01:50	15:01:50	15:01:50			15:01:50	15:01:50	15:01:52	15:01:52	15:01:52	15:01:52	15:01:52	15:01:52			15:01:53	15:01:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	15:01:53	15:01:53	15:01:53	15:01:53	15:01:53	15:01:53			15:01:53	15:01:53	15:01:55	15:01:55	15:01:55	15:01:55	15:01:55	15:01:55			15:01:56	15:01:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
5	15:01:56	15:01:56	15:01:56	15:01:56	15:01:56	15:01:56			15:01:56	15:01:56	15:01:58	15:01:58	15:01:58	15:01:58	15:01:58	15:01:58			15:01:59	15:01:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	15:01:59	15:01:59	15:01:59	15:01:59	15:01:59	15:01:59			15:01:59	15:01:59	15:02:00	15:02:00	15:02:00	15:02:00	15:02:00	15:02:00			15:02:01	15:02:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
7	15:02:02	15:02:02	15:02:02	15:02:02	15:02:02	15:02:02			15:02:02	15:02:02	15:02:03	15:02:03	15:02:03	15:02:03	15:02:03	15:02:03			15:02:04	15:02:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	15:02:04	15:02:04	15:02:04	15:02:04	15:02:04	15:02:04			15:02:04	15:02:04	15:02:06	15:02:06	15:02:06	15:02:06	15:02:06	15:02:06			15:02:07	15:02:07		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	15:02:07	15:02:07	15:02:07	15:02:07	15:02:07	15:02:07			15:02:07	15:02:07	15:02:09	15:02:09	15:02:09	15:02:09	15:02:09	15:02:09			15:02:10	15:02:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:10	15:02:11	15:02:11	15:02:11	15:02:11	15:02:11	15:02:11	15:02:11	15:02:11	15:02:12	15:02:12		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
