Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:14:08	15:14:08	15:14:08			15:14:08	15:14:08	15:14:08	15:14:08	15:14:08	15:14:10	15:14:10	15:14:10	15:14:10	15:14:10	15:14:10			15:14:12	15:14:12		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:13	15:14:15	15:14:15	15:14:15	15:14:15	15:14:15	15:14:15			15:14:17	15:14:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:04
2	15:14:17	15:14:17	15:14:17	15:14:17	15:14:17	15:14:17			15:14:17	15:14:17	15:14:20	15:14:20	15:14:20	15:14:20	15:14:20	15:14:20			15:14:21	15:14:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	15:14:21	15:14:21	15:14:21	15:14:21	15:14:21	15:14:21			15:14:21	15:14:21	15:14:23	15:14:23	15:14:23	15:14:23	15:14:23	15:14:23			15:14:24	15:14:24		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	15:14:24	15:14:24	15:14:24	15:14:24	15:14:24	15:14:24			15:14:24	15:14:24	15:14:26	15:14:26	15:14:26	15:14:26	15:14:26	15:14:26			15:14:27	15:14:27		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	15:14:27	15:14:27	15:14:27	15:14:27	15:14:27	15:14:27			15:14:27	15:14:27	15:14:29	15:14:29	15:14:29	15:14:29	15:14:29	15:14:29			15:14:30	15:14:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	15:14:30	15:14:30	15:14:30	15:14:30	15:14:30	15:14:30			15:14:30	15:14:30	15:14:31	15:14:31	15:14:31	15:14:31	15:14:31	15:14:31			15:14:33	15:14:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
7	15:14:33	15:14:33	15:14:33	15:14:33	15:14:33	15:14:33			15:14:33	15:14:33	15:14:34	15:14:34	15:14:34	15:14:34	15:14:34	15:14:34			15:14:35	15:14:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
8	15:14:35	15:14:35	15:14:35	15:14:35	15:14:35	15:14:35			15:14:35	15:14:35	15:14:37	15:14:37	15:14:37	15:14:37	15:14:37	15:14:37			15:14:38	15:14:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
9	15:14:38	15:14:38	15:14:38	15:14:38	15:14:38	15:14:38			15:14:38	15:14:38	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40	15:14:40			15:14:41	15:14:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:41	15:14:43	15:14:43	15:14:43	15:14:43	15:14:43	15:14:43	15:14:43	15:14:43	15:14:44	15:14:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
