Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:19:46	15:19:46	15:19:46			15:19:46	15:19:46	15:19:47	15:19:47	15:19:47	15:19:49	15:19:49	15:19:49	15:19:49	15:19:49	15:19:49			15:19:51	15:19:51		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:51	15:19:53	15:19:53	15:19:53	15:19:53	15:19:53	15:19:53			15:19:55	15:19:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:04
2	15:19:55	15:19:55	15:19:55	15:19:55	15:19:55	15:19:55			15:19:55	15:19:55	15:19:57	15:19:57	15:19:57	15:19:57	15:19:57	15:19:57			15:19:58	15:19:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	15:19:58	15:19:58	15:19:58	15:19:58	15:19:58	15:19:58			15:19:58	15:19:58	15:20:00	15:20:00	15:20:00	15:20:00	15:20:00	15:20:00			15:20:01	15:20:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	15:20:01	15:20:01	15:20:01	15:20:01	15:20:01	15:20:01			15:20:01	15:20:01	15:20:03	15:20:03	15:20:03	15:20:03	15:20:03	15:20:03			15:20:04	15:20:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	15:20:04	15:20:04	15:20:04	15:20:04	15:20:04	15:20:04			15:20:04	15:20:04	15:20:05	15:20:05	15:20:05	15:20:05	15:20:05	15:20:05			15:20:06	15:20:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	15:20:07	15:20:07	15:20:07	15:20:07	15:20:07	15:20:07			15:20:07	15:20:07	15:20:08	15:20:08	15:20:08	15:20:08	15:20:08	15:20:08			15:20:09	15:20:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	15:20:09	15:20:09	15:20:09	15:20:09	15:20:09	15:20:09			15:20:09	15:20:09	15:20:11	15:20:11	15:20:11	15:20:11	15:20:11	15:20:11			15:20:12	15:20:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	15:20:12	15:20:12	15:20:12	15:20:12	15:20:12	15:20:12			15:20:12	15:20:12	15:20:14	15:20:14	15:20:14	15:20:14	15:20:14	15:20:14			15:20:15	15:20:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	15:20:15	15:20:15	15:20:15	15:20:15	15:20:15	15:20:15			15:20:15	15:20:15	15:20:16	15:20:16	15:20:16	15:20:16	15:20:16	15:20:16			15:20:17	15:20:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:18	15:20:19	15:20:19	15:20:19	15:20:19	15:20:19	15:20:19	15:20:19	15:20:19	15:20:20	15:20:20		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
