Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	11:24:14	11:24:14	11:24:14			11:24:14	11:24:15	11:24:15	11:24:15	11:24:15	11:24:17	11:24:17	11:24:17	11:24:17	11:24:17	11:24:17			11:24:19	11:24:19		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:04
1	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:20	11:24:22	11:24:22	11:24:22	11:24:22	11:24:22	11:24:22			11:24:23	11:24:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
2	11:24:23	11:24:23	11:24:23	11:24:23	11:24:23	11:24:23			11:24:23	11:24:23	11:24:25	11:24:25	11:24:25	11:24:25	11:24:25	11:24:25			11:24:26	11:24:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	11:24:26	11:24:26	11:24:26	11:24:26	11:24:26	11:24:26			11:24:26	11:24:26	11:24:28	11:24:28	11:24:28	11:24:28	11:24:28	11:24:28			11:24:29	11:24:29		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
4	11:24:29	11:24:29	11:24:29	11:24:29	11:24:29	11:24:29			11:24:29	11:24:29	11:24:31	11:24:31	11:24:31	11:24:31	11:24:31	11:24:31			11:24:32	11:24:32		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	11:24:32	11:24:32	11:24:32	11:24:32	11:24:32	11:24:32			11:24:32	11:24:32	11:24:34	11:24:34	11:24:34	11:24:34	11:24:34	11:24:34			11:24:35	11:24:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	11:24:35	11:24:35	11:24:35	11:24:35	11:24:35	11:24:35			11:24:35	11:24:35	11:24:37	11:24:37	11:24:37	11:24:37	11:24:37	11:24:37			11:24:38	11:24:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	11:24:38	11:24:38	11:24:38	11:24:38	11:24:38	11:24:38			11:24:38	11:24:38	11:24:40	11:24:40	11:24:40	11:24:40	11:24:40	11:24:40			11:24:41	11:24:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	11:24:41	11:24:41	11:24:41	11:24:41	11:24:41	11:24:41			11:24:41	11:24:41	11:24:43	11:24:43	11:24:43	11:24:43	11:24:43	11:24:43			11:24:44	11:24:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
9	11:24:44	11:24:44	11:24:44	11:24:44	11:24:44	11:24:44			11:24:44	11:24:44	11:24:46	11:24:46	11:24:46	11:24:46	11:24:46	11:24:46			11:24:46	11:24:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:47	11:24:48	11:24:48	11:24:48	11:24:48	11:24:48	11:24:48	11:24:48	11:24:49	11:24:50	11:24:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
11	11:24:50	11:24:50	11:24:50	11:24:50	11:24:50	11:24:50			11:24:50	11:24:50	11:24:52	11:24:52	11:24:52	11:24:52	11:24:52	11:24:52			11:24:53	11:24:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
12	11:24:53	11:24:53	11:24:53	11:24:53	11:24:53	11:24:53			11:24:53	11:24:53	11:24:54	11:24:54	11:24:54	11:24:54	11:24:54	11:24:54			11:24:56	11:24:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
