Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:29:26	15:29:26	15:29:26			15:29:26	15:29:26	15:29:26	15:29:26	15:29:26	15:29:28	15:29:28	15:29:28	15:29:28	15:29:28	15:29:28			15:29:30	15:29:30		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:31	15:29:32	15:29:32	15:29:32	15:29:32	15:29:32	15:29:32			15:29:35	15:29:35		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:04
2	15:29:35	15:29:35	15:29:35	15:29:35	15:29:35	15:29:35			15:29:35	15:29:35	15:29:37	15:29:37	15:29:37	15:29:37	15:29:37	15:29:37			15:29:38	15:29:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
3	15:29:38	15:29:38	15:29:38	15:29:38	15:29:38	15:29:38			15:29:38	15:29:38	15:29:40	15:29:40	15:29:40	15:29:40	15:29:40	15:29:40			15:29:41	15:29:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	15:29:41	15:29:41	15:29:41	15:29:41	15:29:41	15:29:41			15:29:41	15:29:41	15:29:42	15:29:42	15:29:42	15:29:42	15:29:42	15:29:42			15:29:43	15:29:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	15:29:44	15:29:44	15:29:44	15:29:44	15:29:44	15:29:44			15:29:44	15:29:44	15:29:45	15:29:45	15:29:45	15:29:45	15:29:45	15:29:45			15:29:46	15:29:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	15:29:46	15:29:46	15:29:46	15:29:46	15:29:46	15:29:46			15:29:46	15:29:46	15:29:48	15:29:48	15:29:48	15:29:48	15:29:48	15:29:48			15:29:49	15:29:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	15:29:49	15:29:49	15:29:49	15:29:49	15:29:49	15:29:49			15:29:49	15:29:49	15:29:51	15:29:51	15:29:51	15:29:51	15:29:51	15:29:51			15:29:52	15:29:52		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	15:29:52	15:29:52	15:29:52	15:29:52	15:29:52	15:29:52			15:29:52	15:29:52	15:29:54	15:29:54	15:29:54	15:29:54	15:29:54	15:29:54			15:29:55	15:29:55		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	15:29:55	15:29:55	15:29:55	15:29:55	15:29:55	15:29:55			15:29:55	15:29:55	15:29:57	15:29:57	15:29:57	15:29:57	15:29:57	15:29:57			15:29:57	15:29:57		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:58	15:29:59	15:29:59	15:29:59	15:29:59	15:29:59	15:29:59	15:29:59	15:29:59	15:30:00	15:30:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
11	15:30:00	15:30:00	15:30:00	15:30:00	15:30:00	15:30:00			15:30:00	15:30:00	15:30:02	15:30:02	15:30:02	15:30:02	15:30:02	15:30:02			15:30:03	15:30:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
12	15:30:03	15:30:03	15:30:03	15:30:03	15:30:03	15:30:03			15:30:03	15:30:03	15:30:05	15:30:05	15:30:05	15:30:05	15:30:05	15:30:05			15:30:06	15:30:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
13	15:30:06	15:30:06	15:30:06	15:30:06	15:30:06	15:30:06			15:30:06	15:30:06	15:30:08	15:30:08	15:30:08	15:30:08	15:30:08	15:30:08			15:30:09	15:30:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
14	15:30:09	15:30:09	15:30:09	15:30:09	15:30:09	15:30:09			15:30:09	15:30:09	15:30:11	15:30:11	15:30:11	15:30:11	15:30:11	15:30:11			15:30:12	15:30:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
15	15:30:12	15:30:12	15:30:12	15:30:12	15:30:12	15:30:12			15:30:12	15:30:12	15:30:13	15:30:13	15:30:13	15:30:13	15:30:13	15:30:13			15:30:14	15:30:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
16	15:30:15	15:30:15	15:30:15	15:30:15	15:30:15	15:30:15			15:30:15	15:30:15	15:30:16	15:30:16	15:30:16	15:30:16	15:30:16	15:30:16			15:30:17	15:30:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
17	15:30:17	15:30:17	15:30:17	15:30:17	15:30:17	15:30:17			15:30:17	15:30:17	15:30:19	15:30:19	15:30:19	15:30:19	15:30:19	15:30:19			15:30:20	15:30:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
18	15:30:20	15:30:20	15:30:20	15:30:20	15:30:20	15:30:20			15:30:20	15:30:20	15:30:22	15:30:22	15:30:22	15:30:22	15:30:22	15:30:22			15:30:23	15:30:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
19	15:30:23	15:30:23	15:30:23	15:30:23	15:30:23	15:30:23			15:30:23	15:30:23	15:30:25	15:30:25	15:30:25	15:30:25	15:30:25	15:30:25			15:30:26	15:30:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
20	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:26	15:30:28	15:30:28	15:30:28	15:30:28	15:30:28	15:30:28	15:30:28	15:30:28	15:30:29	15:30:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
21	15:30:29	15:30:29	15:30:29	15:30:29	15:30:29	15:30:29			15:30:29	15:30:29	15:30:31	15:30:31	15:30:31	15:30:31	15:30:31	15:30:31			15:30:32	15:30:32		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
22	15:30:32	15:30:32	15:30:32	15:30:32	15:30:32	15:30:32			15:30:32	15:30:32	15:30:33	15:30:33	15:30:33	15:30:33	15:30:33	15:30:33			15:30:34	15:30:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
23	15:30:35	15:30:35	15:30:35	15:30:35	15:30:35	15:30:35			15:30:35	15:30:35	15:30:36	15:30:36	15:30:36	15:30:36	15:30:36	15:30:36			15:30:37	15:30:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
24	15:30:37	15:30:37	15:30:37	15:30:37	15:30:37	15:30:37			15:30:37	15:30:37	15:30:39	15:30:39	15:30:39	15:30:39	15:30:39	15:30:39			15:30:40	15:30:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
25	15:30:40	15:30:40	15:30:40	15:30:40	15:30:40	15:30:40			15:30:40	15:30:40	15:30:42	15:30:42	15:30:42	15:30:42	15:30:42	15:30:42			15:30:43	15:30:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
26	15:30:43	15:30:43	15:30:43	15:30:43	15:30:43	15:30:43			15:30:43	15:30:43	15:30:45	15:30:45	15:30:45	15:30:45	15:30:45	15:30:45			15:30:46	15:30:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
27	15:30:46	15:30:46	15:30:46	15:30:46	15:30:46	15:30:46			15:30:46	15:30:46	15:30:47	15:30:47	15:30:48	15:30:48	15:30:48	15:30:48			15:30:48	15:30:48		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
28	15:30:49	15:30:49	15:30:49	15:30:49	15:30:49	15:30:49			15:30:49	15:30:49	15:30:50	15:30:50	15:30:50	15:30:50	15:30:50	15:30:50			15:30:51	15:30:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
