Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:24:41	12:24:41	12:24:41			12:24:41	12:24:41	12:24:41	12:24:41	12:24:41	12:24:42	12:24:42	12:24:42	12:24:42	12:24:42	12:24:42			12:24:44	12:24:44		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:45	12:24:46	12:24:46	12:24:46	12:24:46			12:24:47	12:24:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
2	12:24:47	12:24:47	12:24:47	12:24:47	12:24:47	12:24:47			12:24:47	12:24:47	12:24:48	12:24:48	12:24:48	12:24:48	12:24:48	12:24:48			12:24:49	12:24:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	12:24:49	12:24:49	12:24:49	12:24:49	12:24:49	12:24:49			12:24:49	12:24:49	12:24:50	12:24:50	12:24:50	12:24:50	12:24:50	12:24:50			12:24:50	12:24:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	12:24:51	12:24:51	12:24:51	12:24:51	12:24:51	12:24:51			12:24:51	12:24:51	12:24:51	12:24:51	12:24:51	12:24:51	12:24:51	12:24:51			12:24:52	12:24:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	12:24:52	12:24:52	12:24:52	12:24:52	12:24:52	12:24:52			12:24:52	12:24:52	12:24:53	12:24:53	12:24:53	12:24:53	12:24:53	12:24:53			12:24:54	12:24:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	12:24:54	12:24:54	12:24:54	12:24:54	12:24:54	12:24:54			12:24:54	12:24:54	12:24:55	12:24:55	12:24:55	12:24:55	12:24:55	12:24:55			12:24:55	12:24:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	12:24:56	12:24:56	12:24:56	12:24:56	12:24:56	12:24:56			12:24:56	12:24:56	12:24:56	12:24:56	12:24:56	12:24:56	12:24:56	12:24:56			12:24:57	12:24:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	12:24:57	12:24:57	12:24:57	12:24:57	12:24:57	12:24:57			12:24:57	12:24:57	12:24:58	12:24:58	12:24:58	12:24:58	12:24:58	12:24:58			12:24:58	12:24:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	12:24:58	12:24:58	12:24:58	12:24:58	12:24:58	12:24:58			12:24:58	12:24:58	12:24:59	12:24:59	12:24:59	12:24:59	12:24:59	12:24:59			12:25:00	12:25:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:00	12:25:01	12:25:01	12:25:01	12:25:01	12:25:01	12:25:01	12:25:01	12:25:01	12:25:02	12:25:02		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:01
