Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:16:23	16:16:23	16:16:23			16:16:23	16:16:23	16:16:23	16:16:23	16:16:23	16:16:24	16:16:24	16:16:24	16:16:24	16:16:24	16:16:24			16:16:26	16:16:26		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
1	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:26	16:16:27	16:16:27	16:16:27	16:16:27	16:16:27	16:16:27			16:16:28	16:16:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
2	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28			16:16:28	16:16:28	16:16:29	16:16:29	16:16:29	16:16:29	16:16:29	16:16:29			16:16:30	16:16:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
3	16:16:30	16:16:30	16:16:30	16:16:30	16:16:30	16:16:30			16:16:30	16:16:30	16:16:31	16:16:31	16:16:31	16:16:31	16:16:31	16:16:31			16:16:31	16:16:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32			16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32			16:16:33	16:16:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
5	16:16:33	16:16:33	16:16:33	16:16:33	16:16:33	16:16:33			16:16:33	16:16:33	16:16:34	16:16:34	16:16:34	16:16:34	16:16:34	16:16:34			16:16:34	16:16:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	16:16:35	16:16:35	16:16:35	16:16:35	16:16:35	16:16:35			16:16:35	16:16:35	16:16:35	16:16:35	16:16:35	16:16:35	16:16:35	16:16:35			16:16:36	16:16:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	16:16:36	16:16:36	16:16:36	16:16:36	16:16:36	16:16:36			16:16:36	16:16:36	16:16:36	16:16:36	16:16:36	16:16:36	16:16:36	16:16:36			16:16:37	16:16:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	16:16:37	16:16:37	16:16:37	16:16:37	16:16:37	16:16:37			16:16:37	16:16:37	16:16:38	16:16:38	16:16:38	16:16:38	16:16:38	16:16:38			16:16:38	16:16:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	16:16:39	16:16:39	16:16:39	16:16:39	16:16:39	16:16:39			16:16:39	16:16:39	16:16:39	16:16:39	16:16:39	16:16:39	16:16:39	16:16:39			16:16:40	16:16:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:40	16:16:41	16:16:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
