Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:44:04	16:44:04	16:44:04			16:44:04	16:44:04	16:44:04	16:44:04	16:44:04	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05			16:44:07	16:44:07		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
1	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08			16:44:09	16:44:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
2	16:44:09	16:44:09	16:44:09	16:44:09	16:44:09	16:44:09			16:44:09	16:44:09	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10			16:44:11	16:44:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11			16:44:11	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11			16:44:12	16:44:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12			16:44:12	16:44:12	16:44:13	16:44:13	16:44:13	16:44:13	16:44:13	16:44:13			16:44:13	16:44:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14			16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14			16:44:15	16:44:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15			16:44:15	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15			16:44:16	16:44:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	16:44:16	16:44:16	16:44:16	16:44:16	16:44:16	16:44:16			16:44:16	16:44:16	16:44:17	16:44:17	16:44:17	16:44:17	16:44:17	16:44:17			16:44:17	16:44:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18			16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18			16:44:19	16:44:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	16:44:19	16:44:19	16:44:19	16:44:19	16:44:19	16:44:19			16:44:19	16:44:19	16:44:19	16:44:19	16:44:19	16:44:19	16:44:19	16:44:19			16:44:20	16:44:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:20	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:22	16:44:22		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:01
