Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:04:16	15:04:16	15:04:16			15:04:16	15:04:16	15:04:16	15:04:16	15:04:16	15:04:18	15:04:18	15:04:18	15:04:18	15:04:18	15:04:18			15:04:20	15:04:20		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:03
1	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:20	15:04:22	15:04:22	15:04:22	15:04:22	15:04:22	15:04:22			15:04:24	15:04:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:03
2	15:04:24	15:04:24	15:04:24	15:04:24	15:04:24	15:04:24			15:04:24	15:04:24	15:04:25	15:04:25	15:04:25	15:04:25	15:04:25	15:04:25			15:04:26	15:04:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	15:04:26	15:04:26	15:04:26	15:04:26	15:04:26	15:04:26			15:04:26	15:04:26	15:04:26	15:04:26	15:04:26	15:04:26	15:04:26	15:04:26			15:04:27	15:04:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
4	15:04:27	15:04:27	15:04:27	15:04:27	15:04:27	15:04:27			15:04:27	15:04:27	15:04:28	15:04:28	15:04:28	15:04:28	15:04:28	15:04:28			15:04:29	15:04:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	15:04:29	15:04:29	15:04:29	15:04:29	15:04:29	15:04:29			15:04:29	15:04:29	15:04:29	15:04:29	15:04:29	15:04:29	15:04:29	15:04:29			15:04:30	15:04:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	15:04:31	15:04:31	15:04:31	15:04:31	15:04:31	15:04:31			15:04:31	15:04:31	15:04:31	15:04:31	15:04:31	15:04:31	15:04:31	15:04:31			15:04:32	15:04:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
7	15:04:32	15:04:32	15:04:32	15:04:32	15:04:32	15:04:32			15:04:32	15:04:32	15:04:33	15:04:33	15:04:33	15:04:33	15:04:33	15:04:33			15:04:34	15:04:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	15:04:34	15:04:34	15:04:34	15:04:34	15:04:34	15:04:34			15:04:34	15:04:34	15:04:34	15:04:34	15:04:34	15:04:34	15:04:34	15:04:34			15:04:35	15:04:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
9	15:04:35	15:04:35	15:04:35	15:04:35	15:04:35	15:04:35			15:04:35	15:04:35	15:04:36	15:04:36	15:04:36	15:04:36	15:04:36	15:04:36			15:04:37	15:04:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:37	15:04:39	15:04:39		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:01
