Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:24:11	16:24:11	16:24:11			16:24:11	16:24:11	16:24:11	16:24:11	16:24:11	16:24:12	16:24:12	16:24:12	16:24:12	16:24:12	16:24:12			16:24:14	16:24:14		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:14	16:24:15	16:24:15	16:24:15	16:24:15	16:24:15	16:24:15			16:24:16	16:24:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
2	16:24:16	16:24:16	16:24:16	16:24:16	16:24:16	16:24:16			16:24:16	16:24:16	16:24:17	16:24:17	16:24:17	16:24:17	16:24:17	16:24:17			16:24:18	16:24:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
3	16:24:18	16:24:18	16:24:18	16:24:18	16:24:18	16:24:18			16:24:18	16:24:18	16:24:19	16:24:19	16:24:19	16:24:19	16:24:19	16:24:19			16:24:19	16:24:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	16:24:20	16:24:20	16:24:20	16:24:20	16:24:20	16:24:20			16:24:20	16:24:20	16:24:20	16:24:20	16:24:20	16:24:20	16:24:20	16:24:20			16:24:21	16:24:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	16:24:21	16:24:21	16:24:21	16:24:21	16:24:21	16:24:21			16:24:21	16:24:21	16:24:21	16:24:21	16:24:21	16:24:21	16:24:21	16:24:21			16:24:22	16:24:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	16:24:22	16:24:22	16:24:22	16:24:22	16:24:22	16:24:22			16:24:22	16:24:22	16:24:23	16:24:23	16:24:23	16:24:23	16:24:23	16:24:23			16:24:24	16:24:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24			16:24:24	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24			16:24:25	16:24:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	16:24:25	16:24:25	16:24:25	16:24:25	16:24:25	16:24:25			16:24:25	16:24:25	16:24:26	16:24:26	16:24:26	16:24:26	16:24:26	16:24:26			16:24:26	16:24:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27			16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27			16:24:28	16:24:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:28	16:24:29	16:24:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:01
